time_band,groups_served,groups_rejected
10:00 - 10:10,1,0
10:20 - 10:30,1,0
10:30 - 10:40,2,0
10:40 - 10:50,4,0
10:50 - 11:00,5,0
11:00 - 11:10,10,0
11:10 - 11:20,22,0
11:20 - 11:30,15,3
11:30 - 11:40,12,14
11:40 - 11:50,11,7
11:50 - 12:00,11,4
12:00 - 12:10,7,0
12:10 - 12:20,9,0
12:20 - 12:30,9,0
12:40 - 12:50,11,6
12:30 - 12:40,13,0
12:50 - 13:00,13,8
13:00 - 13:10,13,7
13:10 - 13:20,9,12
13:20 - 13:30,15,15
13:30 - 13:40,10,18
13:40 - 13:50,12,14
13:50 - 14:00,8,10
14:00 - 14:10,10,5
14:10 - 14:20,10,0
14:20 - 14:30,7,0
14:30 - 14:40,4,0
14:40 - 14:50,4,0
14:50 - 15:00,9,0
15:00 - 15:10,6,0
15:10 - 15:20,9,0
15:20 - 15:30,13,0
15:30 - 15:40,14,0
15:40 - 15:50,14,0
15:50 - 16:00,14,4
16:00 - 16:10,7,9
16:10 - 16:20,11,4
16:20 - 16:30,9,3
16:30 - 16:40,11,3
16:40 - 16:50,9,0
16:50 - 17:00,10,1
17:00 - 17:10,12,1
17:10 - 17:20,10,2
17:20 - 17:30,8,6
17:30 - 17:40,8,3
17:40 - 17:50,11,0
17:50 - 18:00,8,3
18:00 - 18:10,8,0
18:10 - 18:20,5,0
18:20 - 18:30,2,0
18:30 - 18:40,3,0
18:40 - 18:50,1,0
18:50 - 19:00,1,0
19:00 - 19:10,1,0
