time_band,no_of_people,no_of_groups
10:20 - 10:30,1,1
10:30 - 10:40,2,1
10:40 - 10:50,3,3
10:50 - 11:00,8,6
11:00 - 11:10,19,14
11:10 - 11:20,30,15
11:20 - 11:30,32,18
11:30 - 11:40,40,23
11:40 - 11:50,33,19
11:50 - 12:00,27,13
12:00 - 12:10,14,8
12:10 - 12:20,13,6
12:20 - 12:30,15,9
12:30 - 12:40,18,10
12:40 - 12:50,24,14
12:50 - 13:00,29,15
13:00 - 13:10,42,28
13:10 - 13:20,40,25
13:20 - 13:30,51,33
13:30 - 13:40,44,30
13:40 - 13:50,40,27
13:50 - 14:00,32,22
14:00 - 14:10,24,16
14:10 - 14:20,13,8
14:20 - 14:30,11,6
14:30 - 14:40,7,4
14:40 - 14:50,6,5
14:50 - 15:00,11,8
15:00 - 15:10,12,7
15:10 - 15:20,18,11
15:20 - 15:30,20,11
15:30 - 15:40,22,13
15:40 - 15:50,26,19
15:50 - 16:00,25,16
16:00 - 16:10,28,16
16:10 - 16:20,22,12
16:20 - 16:30,20,12
16:30 - 16:40,18,10
16:40 - 16:50,16,9
16:50 - 17:00,15,13
17:00 - 17:10,20,13
17:10 - 17:20,18,11
17:20 - 17:30,23,16
17:30 - 17:40,22,13
17:40 - 17:50,22,12
17:50 - 18:00,14,11
18:00 - 18:10,10,5
18:10 - 18:20,9,6
18:20 - 18:30,5,3
18:30 - 18:40,4,2
18:40 - 18:50,1,1
19:00 - 19:10,1,1
