arrival_time,wait_time
10:25:53,00:02:06
10:37:58,00:03:08
10:44:25,00:02:38
10:44:55,00:01:38
10:47:43,00:03:57
10:50:14,00:03:25
10:50:34,00:01:01
10:52:50,00:03:56
10:53:09,00:05:08
10:58:17,00:01:43
10:58:59,00:02:22
11:01:46,00:03:10
11:01:52,00:00:56
11:03:19,00:02:44
11:04:12,00:08:45
11:05:04,00:05:38
11:05:13,00:03:55
11:06:03,00:04:33
11:06:54,00:07:09
11:07:31,00:06:55
11:08:21,00:06:42
11:08:24,00:08:28
11:08:33,00:08:07
11:08:51,00:09:43
11:09:23,00:09:59
11:10:17,00:10:30
11:10:27,00:09:03
11:12:11,00:08:14
11:12:47,00:13:49
11:13:16,00:08:48
11:13:34,00:10:42
11:13:41,00:11:48
11:14:07,00:11:10
11:14:44,00:13:44
11:15:24,00:13:31
11:16:03,00:11:38
11:16:50,00:13:16
11:17:59,00:14:51
11:18:28,00:13:02
11:19:07,00:13:24
11:20:58,00:14:05
11:21:06,00:12:41
11:21:19,00:14:54
11:22:24,00:15:03
11:22:40,00:15:17
11:23:32,00:16:08
11:23:45,00:15:46
11:24:21,00:15:44
11:24:30,N/A
11:25:22,00:17:38
11:25:44,00:15:27
11:26:28,N/A
11:27:30,00:14:56
11:28:14,00:13:56
11:28:38,00:15:41
11:28:40,N/A
11:28:57,00:15:05
11:29:42,N/A
11:30:22,00:14:21
11:30:32,N/A
11:30:33,N/A
11:30:41,N/A
11:30:46,N/A
11:30:48,N/A
11:31:00,N/A
11:31:03,N/A
11:31:18,N/A
11:32:06,00:13:38
11:33:22,00:13:55
11:34:14,00:16:14
11:34:16,00:16:12
11:34:33,N/A
11:34:50,N/A
11:35:31,00:13:29
11:36:09,N/A
11:36:16,00:17:11
11:38:15,00:13:21
11:38:41,00:12:55
11:38:55,N/A
11:39:56,00:13:01
11:39:59,00:18:43
11:40:06,00:14:55
11:40:09,N/A
11:40:27,N/A
11:41:00,N/A
11:41:05,N/A
11:41:33,00:13:43
11:41:49,N/A
11:42:27,00:14:53
11:42:35,00:13:41
11:43:17,00:14:49
11:43:29,N/A
11:44:21,00:16:10
11:44:23,00:15:29
11:44:34,N/A
11:45:28,00:16:50
11:46:13,00:15:46
11:47:36,00:14:35
11:47:53,N/A
11:47:54,N/A
11:50:29,00:12:58
11:52:10,00:13:13
11:52:44,00:14:44
11:53:30,00:11:05
11:53:42,00:11:33
11:54:23,00:12:49
11:54:26,00:12:14
11:54:45,N/A
11:57:21,00:11:48
11:57:51,00:11:05
11:59:21,00:09:55
11:59:33,00:11:58
11:59:37,00:11:45
12:05:00,00:06:03
12:05:17,00:08:28
12:05:23,00:08:25
12:05:58,00:08:37
12:06:02,00:13:06
12:07:36,00:10:44
12:09:17,00:08:45
12:09:41,00:10:44
12:12:01,00:07:43
12:14:02,00:07:13
12:14:27,00:09:14
12:16:30,00:05:10
12:17:53,00:05:28
