time_band,no_of_people,no_of_groups
10:30 - 10:40,2,1
10:40 - 10:50,6,2
10:50 - 11:00,8,4
11:00 - 11:10,19,8
11:10 - 11:20,29,15
11:20 - 11:30,34,16
11:30 - 11:40,40,23
11:40 - 11:50,34,17
11:50 - 12:00,26,12
12:00 - 12:10,13,5
12:10 - 12:20,11,5
12:20 - 12:30,15,6
12:30 - 12:40,17,7
12:40 - 12:50,25,13
12:50 - 13:00,30,15
13:00 - 13:10,43,20
13:10 - 13:20,41,17
13:20 - 13:30,53,22
13:30 - 13:40,42,20
13:40 - 13:50,40,20
13:50 - 14:00,31,12
14:00 - 14:10,22,11
14:10 - 14:20,12,6
14:20 - 14:30,11,5
14:30 - 14:40,8,4
14:40 - 14:50,7,3
14:50 - 15:00,9,4
15:00 - 15:10,12,6
15:10 - 15:20,17,7
15:20 - 15:30,21,10
15:30 - 15:40,22,10
15:40 - 15:50,27,11
15:50 - 16:00,25,13
16:00 - 16:10,27,13
16:10 - 16:20,20,9
16:20 - 16:30,20,8
16:30 - 16:40,17,6
16:40 - 16:50,15,8
16:50 - 17:00,15,6
17:00 - 17:10,20,7
17:10 - 17:20,20,8
17:20 - 17:30,24,9
17:30 - 17:40,22,9
17:40 - 17:50,21,9
17:50 - 18:00,14,7
18:00 - 18:10,11,5
18:10 - 18:20,8,4
18:20 - 18:30,5,2
18:30 - 18:40,4,2
18:40 - 18:50,3,1
