time_band,groups_served,groups_rejected
10:30 - 10:40,1,0
10:40 - 10:50,2,0
10:50 - 11:00,4,0
11:00 - 11:10,8,0
11:10 - 11:20,13,2
11:20 - 11:30,4,12
11:30 - 11:40,8,15
11:40 - 11:50,5,12
11:50 - 12:00,7,5
12:00 - 12:10,3,2
12:10 - 12:20,5,0
12:20 - 12:30,6,0
12:30 - 12:40,7,0
12:40 - 12:50,9,4
12:50 - 13:00,5,10
13:00 - 13:10,9,11
13:10 - 13:20,7,10
13:20 - 13:30,8,14
13:30 - 13:40,9,11
13:40 - 13:50,8,12
13:50 - 14:00,7,5
14:00 - 14:10,4,7
14:10 - 14:20,6,0
14:20 - 14:30,5,0
14:30 - 14:40,4,0
14:40 - 14:50,3,0
14:50 - 15:00,4,0
15:00 - 15:10,6,0
15:10 - 15:20,7,0
15:20 - 15:30,10,0
15:30 - 15:40,10,0
15:40 - 15:50,9,2
15:50 - 16:00,5,8
16:00 - 16:10,8,5
16:10 - 16:20,6,3
16:30 - 16:40,4,2
16:20 - 16:30,8,0
16:40 - 16:50,8,0
16:50 - 17:00,5,1
17:10 - 17:20,6,2
17:00 - 17:10,7,0
17:20 - 17:30,8,1
17:30 - 17:40,9,0
17:40 - 17:50,9,0
17:50 - 18:00,7,0
18:00 - 18:10,5,0
18:10 - 18:20,4,0
18:20 - 18:30,2,0
18:30 - 18:40,2,0
18:40 - 18:50,1,0
