time_band,no_of_people,no_of_groups
10:30 - 10:40,3,1
10:40 - 10:50,4,1
10:50 - 11:00,10,3
11:00 - 11:10,19,7
11:10 - 11:20,29,11
11:20 - 11:30,36,11
11:30 - 11:40,38,14
11:40 - 11:50,35,12
11:50 - 12:00,26,8
12:00 - 12:10,13,5
12:10 - 12:20,11,4
12:20 - 12:30,14,6
12:30 - 12:40,18,7
12:40 - 12:50,24,8
12:50 - 13:00,31,10
13:00 - 13:10,41,14
13:10 - 13:20,41,15
13:20 - 13:30,51,14
13:30 - 13:40,43,15
13:40 - 13:50,39,12
13:50 - 14:00,32,10
14:00 - 14:10,25,7
14:10 - 14:20,13,4
14:20 - 14:30,11,3
14:30 - 14:40,8,2
14:40 - 14:50,5,2
14:50 - 15:00,12,4
15:00 - 15:10,11,4
15:10 - 15:20,16,5
15:20 - 15:30,20,7
15:30 - 15:40,21,10
15:40 - 15:50,25,8
15:50 - 16:00,24,9
16:00 - 16:10,27,10
16:10 - 16:20,22,8
16:20 - 16:30,19,6
16:30 - 16:40,18,6
16:40 - 16:50,18,7
16:50 - 17:00,15,4
17:00 - 17:10,20,5
17:10 - 17:20,18,5
17:20 - 17:30,22,8
17:30 - 17:40,23,7
17:40 - 17:50,21,8
17:50 - 18:00,15,6
18:00 - 18:10,10,3
18:10 - 18:20,11,3
18:20 - 18:30,6,2
18:30 - 18:40,5,1
18:40 - 18:50,1,1
