group_id,service_time
19,00:01:55
28,00:07:19
32,00:06:59
40,00:02:24
47,00:01:55
48,00:02:04
52,00:04:22
56,00:05:07
62,00:06:19
68,00:02:49
74,00:01:21
78,00:01:29
81,00:03:30
83,00:00:56
87,00:03:19
96,00:02:09
100,00:02:07
112,00:06:19
113,00:04:29
124,00:06:48
127,00:03:21
131,00:02:15
137,00:02:52
138,00:01:10
143,00:04:56
145,00:02:01
149,00:02:12
159,00:01:21
160,00:02:57
161,00:01:40
165,00:03:07
179,00:02:33
180,00:02:28
182,00:01:01
187,00:02:15
194,00:04:29
203,00:01:32
215,00:05:33
219,00:02:11
226,00:02:57
230,00:02:22
239,00:04:26
245,00:06:47
252,00:03:28
256,00:01:45
266,00:02:42
271,00:02:50
278,00:04:29
285,00:06:15
292,00:01:49
294,00:02:24
299,00:02:43
301,00:02:18
304,00:00:49
309,00:08:51
314,00:03:35
