time_band,no_of_people,no_of_groups
10:40 - 10:50,4,1
10:50 - 11:00,9,3
11:00 - 11:10,21,7
11:10 - 11:20,30,11
11:20 - 11:30,32,10
11:30 - 11:40,39,11
11:40 - 11:50,35,9
11:50 - 12:00,25,7
12:00 - 12:10,14,5
12:10 - 12:20,13,4
12:20 - 12:30,14,4
12:30 - 12:40,18,5
12:40 - 12:50,24,9
12:50 - 13:00,30,9
13:00 - 13:10,43,13
13:10 - 13:20,40,13
13:20 - 13:30,50,14
13:30 - 13:40,44,16
13:40 - 13:50,42,15
13:50 - 14:00,31,10
14:00 - 14:10,24,7
14:10 - 14:20,15,4
14:20 - 14:30,8,2
14:30 - 14:40,7,3
14:40 - 14:50,7,3
14:50 - 15:00,12,5
15:00 - 15:10,11,4
15:10 - 15:20,18,6
15:20 - 15:30,21,6
15:30 - 15:40,23,6
15:40 - 15:50,27,7
15:50 - 16:00,26,9
16:00 - 16:10,28,8
16:10 - 16:20,23,7
16:20 - 16:30,21,7
16:30 - 16:40,19,7
16:40 - 16:50,15,4
16:50 - 17:00,15,5
17:00 - 17:10,18,6
17:10 - 17:20,18,7
17:20 - 17:30,25,9
17:30 - 17:40,22,9
17:40 - 17:50,23,8
17:50 - 18:00,14,6
18:00 - 18:10,9,3
18:10 - 18:20,8,4
18:20 - 18:30,5,2
18:30 - 18:40,4,1
