time_band,groups_served,groups_rejected
10:30 - 10:40,1,0
10:40 - 10:50,2,0
10:50 - 11:00,3,0
11:00 - 11:10,9,0
11:10 - 11:20,13,0
11:20 - 11:30,14,1
11:30 - 11:40,7,11
11:40 - 11:50,6,8
11:50 - 12:00,6,5
12:00 - 12:10,3,0
12:10 - 12:20,6,0
12:20 - 12:30,7,0
12:30 - 12:40,9,0
12:40 - 12:50,10,0
12:50 - 13:00,13,2
13:00 - 13:10,9,7
13:10 - 13:20,5,14
13:20 - 13:30,9,16
13:30 - 13:40,7,16
13:40 - 13:50,7,11
13:50 - 14:00,9,6
14:00 - 14:10,9,0
14:10 - 14:20,5,0
14:20 - 14:30,3,0
14:30 - 14:40,4,0
14:40 - 14:50,3,0
14:50 - 15:00,4,0
15:00 - 15:10,4,0
15:10 - 15:20,8,0
15:20 - 15:30,11,0
15:30 - 15:40,10,0
15:40 - 15:50,10,1
15:50 - 16:00,7,2
16:00 - 16:10,13,1
16:10 - 16:20,5,6
16:30 - 16:40,6,2
16:20 - 16:30,7,0
16:40 - 16:50,6,0
16:50 - 17:00,7,0
17:00 - 17:10,9,0
17:20 - 17:30,9,5
17:10 - 17:20,5,0
17:30 - 17:40,9,3
17:40 - 17:50,5,6
17:50 - 18:00,6,0
18:00 - 18:10,5,0
18:10 - 18:20,3,0
18:20 - 18:30,2,0
18:30 - 18:40,2,0
18:40 - 18:50,1,0
