arrival_time,in_queue_time
10:05:22,00:00:00
10:36:30,00:00:00
10:45:30,00:00:00
10:46:00,00:00:00
10:46:19,00:00:00
10:46:40,00:00:00
10:53:25,00:00:00
10:56:19,00:00:00
10:56:59,00:00:00
10:59:54,00:00:00
11:00:53,00:00:00
11:01:04,00:00:00
11:03:32,00:00:00
11:04:02,00:00:00
11:04:05,00:00:09
11:06:01,00:00:00
11:06:13,00:00:00
11:06:46,00:00:00
11:09:38,00:00:00
11:10:25,00:00:00
11:11:28,00:00:00
11:12:18,00:00:00
11:13:40,00:00:00
11:15:46,00:00:00
11:15:57,00:00:00
11:16:30,00:00:00
11:16:32,00:01:50
11:16:44,00:02:27
11:18:49,00:01:38
11:19:00,00:02:33
11:19:30,00:03:02
11:20:26,00:03:41
11:20:41,00:03:46
11:20:48,00:04:11
11:21:17,00:03:51
11:21:30,00:04:46
11:21:32,00:06:27
11:24:22,00:04:54
11:24:28,00:06:11
11:25:26,00:05:30
11:25:38,00:05:58
11:25:57,00:05:53
11:27:19,00:04:51
11:28:17,00:04:02
11:28:52,00:04:33
11:29:24,00:04:59
11:29:43,00:06:03
11:29:55,00:06:35
11:30:09,00:06:29
11:30:49,00:05:54
11:31:39,00:05:43
11:32:17,00:07:50
11:32:28,00:07:56
11:34:02,00:06:38
11:34:30,00:06:38
11:34:32,00:08:45
11:35:15,00:08:07
11:35:30,00:08:28
11:35:42,00:08:21
11:35:51,00:09:58
11:36:46,00:09:10
11:37:32,00:10:47
11:38:20,00:10:25
11:39:08,00:09:58
11:39:09,00:12:09
11:39:32,00:11:49
11:39:56,00:11:27
11:40:12,00:12:49
11:40:45,00:14:09
11:41:28,00:15:11
11:42:47,00:14:37
11:43:13,00:14:29
11:43:17,00:14:37
11:44:03,00:14:56
11:44:17,00:15:07
11:44:40,00:15:01
11:45:13,00:14:31
11:45:30,00:15:20
11:45:52,00:15:49
11:46:11,00:16:20
11:46:15,00:16:34
11:46:26,N/A
11:46:32,N/A
11:46:45,N/A
11:48:21,00:15:08
11:48:39,N/A
11:50:39,00:12:58
11:50:40,00:13:13
11:50:46,N/A
11:51:34,00:14:53
11:54:39,00:12:06
11:54:43,00:12:18
11:56:55,00:10:44
11:58:10,00:09:31
11:58:36,00:09:58
11:59:49,00:08:49
12:01:18,00:07:41
12:01:31,00:09:30
12:02:35,00:09:00
12:02:43,00:09:13
12:03:34,00:08:49
12:04:53,00:07:58
12:04:55,00:09:40
12:09:55,00:04:42
12:11:32,00:05:26
12:12:35,00:04:41
12:13:46,00:04:06
12:15:24,00:03:40
12:15:43,00:03:27
12:16:36,00:03:52
12:21:19,00:00:00
12:23:00,00:00:00
12:23:09,00:00:00
12:23:29,00:01:02
12:27:39,00:00:00
12:28:11,00:00:00
12:30:31,00:00:00
12:34:11,00:00:00
12:34:38,00:00:00
12:36:16,00:00:00
12:38:34,00:00:00
12:38:34,00:00:00
12:39:42,00:00:00
12:43:40,00:00:00
12:44:03,00:00:00
12:45:07,00:00:00
12:45:14,00:00:00
12:45:34,00:00:00
12:45:44,00:00:29
12:45:56,00:00:18
12:46:37,00:00:59
12:48:27,00:00:00
12:50:11,00:00:00
12:51:17,00:00:00
12:51:42,00:00:00
12:52:10,00:00:00
12:53:02,00:00:00
12:53:32,00:00:55
12:53:56,00:01:30
12:55:26,00:00:05
12:56:05,00:00:13
12:56:10,00:00:16
12:56:40,00:01:21
12:57:00,00:01:04
13:00:33,00:00:00
13:01:29,00:00:00
13:02:08,00:00:00
13:02:36,00:00:00
13:02:47,00:00:43
13:03:07,00:00:24
13:03:34,00:00:06
13:03:53,00:00:49
13:03:54,00:00:53
13:04:01,00:02:37
13:05:18,00:01:58
13:05:41,00:02:21
13:05:55,00:03:10
13:06:13,00:03:07
13:06:44,00:03:51
13:06:53,00:04:54
13:07:13,00:05:11
13:07:15,00:05:22
13:07:45,00:06:34
13:09:02,00:06:15
13:09:11,00:06:21
13:10:51,00:04:55
13:10:55,00:05:05
13:11:12,00:06:32
13:11:30,00:07:12
13:11:58,00:06:45
13:12:26,00:07:36
13:12:57,00:08:38
13:13:05,00:08:41
13:13:22,00:09:01
13:13:47,00:09:37
