time,length
00:00:00,0
10:05:34,1
10:05:34,0
10:33:05,1
10:33:05,0
10:40:24,1
10:40:24,0
10:42:29,1
10:42:29,0
10:52:01,1
10:52:01,0
10:52:33,1
10:52:33,0
10:53:58,1
10:53:58,0
10:54:01,1
10:54:01,0
11:01:12,1
11:01:12,0
11:04:28,1
11:04:28,0
11:05:22,1
11:05:22,0
11:06:19,1
11:06:19,0
11:06:29,1
11:06:29,0
11:07:31,1
11:07:31,0
11:08:26,1
11:08:26,0
11:08:36,1
11:08:36,0
11:09:56,1
11:09:56,0
11:09:58,1
11:10:25,2
11:10:34,3
11:10:39,2
11:10:50,3
11:11:41,2
11:11:47,3
11:11:58,2
11:12:19,3
11:12:46,4
11:13:06,3
11:13:26,4
11:13:27,3
11:13:34,2
11:14:44,1
11:15:01,0
11:16:14,1
11:16:14,0
11:16:20,1
11:16:20,0
11:18:36,1
11:18:36,0
11:19:04,1
11:19:04,0
11:19:07,1
11:19:07,0
11:19:35,1
11:20:06,0
11:20:46,1
11:20:46,0
11:20:58,1
11:20:58,0
11:21:02,1
11:21:02,0
11:21:51,1
11:21:55,2
11:22:00,1
11:22:06,2
11:22:13,1
11:22:15,2
11:23:10,1
11:23:41,0
11:23:46,1
11:24:11,2
11:24:47,3
11:25:09,2
11:25:15,1
11:25:31,2
11:25:31,1
11:26:27,0
11:27:49,1
11:27:49,0
11:28:10,1
11:28:10,0
11:29:06,1
11:29:06,0
11:29:50,1
11:29:50,0
11:30:23,1
11:30:23,0
11:31:06,1
11:31:06,0
11:31:34,1
11:31:34,0
11:31:43,1
11:31:56,2
11:32:23,1
11:32:30,0
11:33:00,1
11:33:00,0
11:33:21,1
11:33:21,0
11:35:24,1
11:35:24,0
11:35:32,1
11:35:32,0
11:35:56,1
11:35:56,0
11:37:19,1
11:37:19,0
11:38:47,1
11:38:47,0
11:39:56,1
11:39:56,0
11:40:55,1
11:40:55,0
11:41:30,1
11:41:30,0
11:41:43,1
11:41:43,0
11:42:06,1
11:42:06,0
11:42:29,1
11:42:42,0
11:43:24,1
11:43:24,0
11:43:30,1
11:43:30,0
11:43:49,1
11:43:49,0
11:46:29,1
11:46:29,0
11:46:48,1
11:46:48,0
11:47:33,1
11:47:33,0
11:48:52,1
11:48:52,0
11:49:05,1
11:49:05,0
11:50:03,1
11:50:03,0
11:52:57,1
11:52:57,0
11:54:10,1
11:54:10,0
11:55:02,1
11:55:02,0
11:55:27,1
11:55:27,0
11:55:39,1
11:55:39,0
11:55:58,1
11:56:03,0
11:56:14,1
11:56:14,0
11:56:52,1
11:56:52,0
11:57:07,1
11:58:22,0
11:58:26,1
11:59:02,0
11:59:59,1
11:59:59,0
12:00:09,1
12:00:30,0
12:02:05,1
12:02:05,0
12:02:31,1
12:02:31,0
12:03:45,1
12:03:45,0
12:05:19,1
12:05:19,0
12:08:07,1
12:08:07,0
12:13:22,1
12:13:22,0
12:15:36,1
12:15:36,0
12:15:55,1
12:15:55,0
12:16:19,1
12:16:19,0
12:16:44,1
12:16:44,0
12:17:08,1
12:17:08,0
12:21:36,1
12:21:36,0
12:21:55,1
12:21:55,0
12:22:29,1
12:22:29,0
12:23:06,1
12:23:06,0
12:23:22,1
12:24:04,0
12:25:47,1
12:25:47,0
12:26:36,1
12:26:36,0
12:31:41,1
12:31:41,0
12:32:41,1
12:32:41,0
12:35:06,1
12:35:06,0
12:36:19,1
12:36:19,0
12:36:44,1
12:36:44,0
12:38:37,1
12:38:37,0
12:39:48,1
12:39:48,0
12:40:47,1
12:40:47,0
12:40:54,1
12:40:54,0
12:41:17,1
12:41:17,0
12:41:50,1
12:41:50,0
12:42:21,1
12:42:21,0
12:43:37,1
12:43:37,0
12:44:18,1
12:44:18,0
12:44:27,1
12:44:27,0
12:45:52,1
12:45:52,0
12:48:25,1
12:48:25,0
12:50:23,1
12:50:23,0
12:50:35,1
12:50:35,0
12:51:42,1
12:51:42,0
12:52:15,1
12:52:15,0
12:52:43,1
12:52:43,0
12:52:50,1
12:52:58,0
12:54:31,1
12:54:31,0
12:56:07,1
12:56:07,0
12:56:25,1
12:56:25,0
12:56:48,1
12:56:48,0
12:58:05,1
12:58:05,0
12:58:32,1
12:58:32,0
12:59:09,1
12:59:13,0
12:59:31,1
12:59:47,0
13:00:27,1
13:00:27,0
13:01:58,1
13:01:58,2
13:01:58,1
13:01:58,0
13:02:24,1
13:02:24,0
13:02:29,1
13:02:34,0
13:03:42,1
13:03:42,0
13:03:55,1
13:03:55,0
13:04:36,1
13:04:36,0
13:04:41,1
13:05:42,0
13:06:04,1
13:06:04,0
13:06:14,1
13:06:30,2
13:06:51,1
13:06:53,0
13:07:30,1
13:07:48,2
13:07:52,1
13:07:55,2
13:08:09,3
13:08:14,2
13:09:17,1
13:09:20,0
13:09:41,1
13:09:42,0
13:11:03,1
13:11:03,0
13:11:39,1
13:11:39,0
13:12:13,1
13:12:13,0
13:12:21,1
13:12:21,0
13:12:36,1
13:12:36,0
13:12:55,1
13:12:55,0
13:13:19,1
13:13:57,0
13:14:16,1
13:14:16,0
13:14:51,1
13:15:04,2
13:15:14,1
13:15:35,0
13:16:22,1
13:16:22,0
13:16:56,1
13:17:00,0
13:17:07,1
13:17:25,2
13:18:07,3
13:18:08,4
13:18:29,5
13:19:05,6
13:19:11,7
13:19:42,6
13:19:47,7
13:19:56,6
13:20:26,7
13:20:43,8
13:21:01,7
13:21:20,6
13:21:34,7
13:21:54,8
13:22:07,7
13:22:18,8
13:22:20,9
13:23:10,8
13:23:41,9
13:23:47,8
13:23:55,9
13:23:56,10
13:24:33,9
13:24:34,10
13:24:41,9
13:24:51,10
13:25:10,9
13:25:29,10
13:26:00,11
13:26:04,12
13:26:14,13
13:26:31,12
13:27:15,11
13:27:17,12
13:27:17,11
13:27:45,10
13:28:00,11
13:28:18,10
13:28:22,11
13:28:36,12
13:28:47,13
13:28:48,14
13:29:08,15
13:29:13,16
13:29:14,17
13:29:51,18
13:29:53,17
13:30:30,18
13:30:55,19
13:31:10,18
13:31:11,17
13:31:22,16
13:31:36,17
13:31:54,18
13:32:13,19
13:32:21,18
13:32:31,19
13:32:35,20
13:32:47,21
13:33:10,22
13:33:30,21
13:33:34,20
13:34:03,21
13:34:18,22
13:34:59,23
13:35:37,22
13:35:39,23
13:35:41,24
13:35:47,25
13:36:17,24
13:36:20,23
13:36:56,24
13:37:12,23
13:37:24,22
13:37:29,23
13:37:30,24
13:37:34,25
13:37:34,24
13:37:45,23
13:38:16,22
13:38:55,21
13:39:27,20
13:39:45,19
13:39:55,20
13:40:26,21
13:40:27,20
13:41:11,21
13:41:29,20
13:41:55,21
13:42:02,22
13:42:12,21
13:42:19,22
13:42:20,23
13:42:45,24
13:43:35,23
13:44:01,24
13:44:27,25
13:45:10,24
13:45:19,23
13:45:33,24
13:45:43,23
13:45:51,24
13:46:03,25
13:46:34,24
13:46:43,23
13:47:21,22
13:47:42,23
13:48:18,22
13:48:24,21
13:48:27,22
13:48:29,23
13:48:45,24
13:49:30,25
13:49:48,24
13:49:50,23
13:50:08,22
13:50:15,23
13:50:47,22
13:51:13,21
13:51:19,20
13:51:23,19
13:52:06,20
13:52:12,21
13:52:25,20
13:53:09,19
13:53:20,18
13:53:23,19
13:53:26,18
13:53:27,19
13:54:12,20
13:54:41,21
13:54:57,22
13:55:08,23
13:55:12,22
13:55:47,21
13:55:57,20
13:56:43,21
13:56:54,20
13:57:10,19
13:57:52,20
13:58:12,21
13:58:55,22
13:59:26,21
13:59:28,20
14:01:17,19
14:02:13,18
14:02:58,17
14:03:11,16
14:03:57,15
14:04:05,14
14:05:23,13
14:05:47,14
14:05:50,15
14:06:03,16
14:06:33,15
14:07:09,16
14:07:19,15
14:07:28,14
14:07:31,13
14:09:02,14
14:09:09,13
14:09:41,14
14:09:41,13
14:09:58,14
14:12:01,13
14:12:05,12
14:12:57,13
14:13:55,14
14:13:59,13
14:14:37,12
14:14:55,11
14:16:01,10
14:16:41,11
14:16:46,10
14:17:24,9
14:17:55,8
14:17:56,9
14:18:01,10
14:18:17,11
14:18:42,10
14:19:31,9
14:20:05,8
14:20:32,7
14:20:43,6
14:20:46,5
14:21:30,4
14:21:31,3
14:22:13,4
14:22:34,5
14:23:05,4
14:23:12,3
14:23:26,2
14:24:36,3
14:24:51,2
14:25:14,1
14:25:29,0
14:26:54,1
14:27:57,0
14:28:09,1
14:28:20,0
14:33:22,1
14:33:22,0
14:35:59,1
14:35:59,0
14:36:05,1
14:36:05,0
14:37:16,1
14:37:16,0
14:40:35,1
14:40:35,0
14:50:07,1
14:50:07,0
14:50:23,1
14:50:23,0
14:51:22,1
14:51:22,0
14:52:05,1
14:52:05,0
14:54:34,1
14:54:34,0
14:58:55,1
14:58:55,0
15:02:22,1
15:02:22,0
15:02:50,1
