time_band,groups_served,groups_rejected
10:30 - 10:40,1,0
10:40 - 10:50,1,0
10:50 - 11:00,3,0
11:00 - 11:10,11,0
11:10 - 11:20,14,1
11:20 - 11:30,8,6
11:30 - 11:40,5,13
11:40 - 11:50,7,9
11:50 - 12:00,9,4
12:00 - 12:10,7,0
12:10 - 12:20,6,0
12:20 - 12:30,6,0
12:30 - 12:40,9,0
12:40 - 12:50,14,0
12:50 - 13:00,5,8
13:00 - 13:10,11,7
13:10 - 13:20,8,7
13:20 - 13:30,9,15
13:30 - 13:40,6,15
13:40 - 13:50,8,11
13:50 - 14:00,9,5
14:00 - 14:10,7,4
14:10 - 14:20,4,4
14:20 - 14:30,4,0
14:30 - 14:40,5,0
14:40 - 14:50,3,0
14:50 - 15:00,4,0
15:00 - 15:10,6,0
15:10 - 15:20,10,0
15:20 - 15:30,8,0
15:30 - 15:40,12,1
15:40 - 15:50,8,3
15:50 - 16:00,4,9
16:00 - 16:10,13,0
16:10 - 16:20,5,3
16:20 - 16:30,9,0
16:30 - 16:40,9,0
16:40 - 16:50,8,0
16:50 - 17:00,8,0
17:00 - 17:10,8,0
17:10 - 17:20,7,1
17:20 - 17:30,6,8
17:30 - 17:40,8,0
17:40 - 17:50,10,1
17:50 - 18:00,6,0
18:00 - 18:10,5,0
18:10 - 18:20,6,0
18:20 - 18:30,2,0
18:30 - 18:40,3,0
18:40 - 18:50,2,0
18:50 - 19:00,1,0
