time_band,groups_served,groups_rejected
10:00 - 10:10,1,0
10:20 - 10:30,1,0
10:30 - 10:40,1,0
10:40 - 10:50,2,0
10:50 - 11:00,4,0
11:00 - 11:10,15,0
11:10 - 11:20,11,7
11:20 - 11:30,6,19
11:30 - 11:40,4,22
11:40 - 11:50,4,15
11:50 - 12:00,6,12
12:00 - 12:10,6,0
12:10 - 12:20,9,0
12:30 - 12:40,3,9
12:20 - 12:30,9,0
12:40 - 12:50,7,12
12:50 - 13:00,6,13
13:00 - 13:10,7,16
13:10 - 13:20,7,16
13:20 - 13:30,5,23
13:30 - 13:40,5,25
13:40 - 13:50,7,18
13:50 - 14:00,9,8
14:00 - 14:10,7,8
14:10 - 14:20,8,1
14:20 - 14:30,5,0
14:30 - 14:40,4,0
14:40 - 14:50,5,0
14:50 - 15:00,9,0
15:00 - 15:10,7,0
15:10 - 15:20,12,0
15:30 - 15:40,9,5
15:20 - 15:30,10,0
15:40 - 15:50,7,10
15:50 - 16:00,7,10
16:00 - 16:10,8,7
16:10 - 16:20,5,12
16:20 - 16:30,9,5
16:30 - 16:40,8,5
16:40 - 16:50,7,0
16:50 - 17:00,9,2
17:00 - 17:10,7,6
17:10 - 17:20,6,6
17:20 - 17:30,4,12
17:30 - 17:40,6,6
17:40 - 17:50,7,5
17:50 - 18:00,6,5
18:00 - 18:10,4,3
18:10 - 18:20,7,0
18:20 - 18:30,3,0
18:30 - 18:40,3,0
18:40 - 18:50,2,0
18:50 - 19:00,1,0
