arrival_time,wait_time
13:34:30,N/A
13:35:18,00:18:28
13:35:22,N/A
13:35:31,N/A
13:35:39,N/A
13:35:59,N/A
13:36:20,N/A
13:36:43,N/A
13:36:53,N/A
13:38:26,00:14:16
13:38:43,00:15:33
13:38:56,N/A
13:39:11,N/A
13:39:42,00:16:46
13:39:52,N/A
13:40:06,N/A
13:40:25,N/A
13:40:50,N/A
13:40:57,00:16:10
13:42:27,N/A
13:42:29,N/A
13:42:36,N/A
13:43:32,N/A
13:43:34,N/A
13:43:36,N/A
13:43:43,N/A
13:43:52,N/A
13:44:05,N/A
13:44:21,N/A
13:44:36,00:14:19
13:45:06,00:17:16
13:45:31,N/A
13:45:44,N/A
13:45:57,00:16:35
13:46:13,N/A
13:46:13,N/A
13:46:34,N/A
13:46:52,N/A
13:48:00,00:16:53
13:48:07,00:17:07
13:48:55,00:21:29
13:49:41,N/A
13:49:45,N/A
13:49:52,N/A
13:49:56,N/A
13:50:06,N/A
13:50:58,00:17:20
13:52:13,N/A
13:53:01,00:16:54
13:53:06,N/A
13:53:56,00:19:11
13:54:31,00:19:39
13:54:59,N/A
13:55:10,N/A
13:55:48,N/A
13:56:03,N/A
13:56:25,N/A
13:56:33,00:19:42
13:57:34,00:18:18
13:58:13,N/A
13:58:23,N/A
13:58:34,N/A
13:58:39,N/A
13:59:22,00:18:54
13:59:30,N/A
13:59:32,N/A
13:59:45,N/A
14:00:29,N/A
14:00:43,N/A
14:01:51,N/A
14:02:45,00:18:45
14:04:27,00:17:09
14:05:00,00:17:49
14:05:47,00:17:15
14:06:26,N/A
14:06:43,N/A
14:07:22,N/A
14:08:07,N/A
14:09:46,00:15:30
14:10:42,00:14:46
14:13:47,00:14:16
14:14:16,00:15:52
14:15:07,00:15:33
14:15:29,N/A
14:16:09,00:19:58
14:18:14,00:15:49
14:19:05,00:18:20
14:20:13,N/A
14:22:19,00:17:58
14:23:36,00:17:11
14:26:28,00:18:17
14:28:10,00:15:54
14:29:23,00:15:44
14:33:06,00:14:43
14:38:20,00:09:18
14:39:15,00:12:40
14:39:46,00:10:28
14:45:55,00:06:18
14:47:14,00:07:39
14:48:34,00:07:01
14:52:01,00:09:10
14:52:07,00:08:53
14:52:50,00:12:05
14:58:23,00:05:48
14:59:43,00:09:49
15:01:05,00:06:44
15:01:21,00:10:39
15:07:00,00:06:02
15:07:32,00:08:33
15:08:50,00:05:48
15:09:28,00:06:33
15:11:40,00:06:33
15:14:41,00:03:11
15:14:56,00:08:21
15:15:12,00:06:30
15:15:40,00:09:04
