time_band,no_of_people,no_of_groups
10:20 - 10:30,1,1
10:30 - 10:40,2,2
10:40 - 10:50,4,3
10:50 - 11:00,9,5
11:00 - 11:10,20,13
11:10 - 11:20,29,18
11:20 - 11:30,34,19
11:30 - 11:40,40,24
11:40 - 11:50,33,23
11:50 - 12:00,26,14
12:00 - 12:10,12,9
12:10 - 12:20,12,8
12:20 - 12:30,15,11
12:30 - 12:40,18,10
12:40 - 12:50,25,14
12:50 - 13:00,29,15
13:00 - 13:10,41,23
13:10 - 13:20,40,25
13:20 - 13:30,51,27
13:30 - 13:40,44,23
13:40 - 13:50,41,23
13:50 - 14:00,33,20
14:00 - 14:10,23,14
14:10 - 14:20,13,8
14:20 - 14:30,11,8
14:30 - 14:40,8,5
14:40 - 14:50,5,4
14:50 - 15:00,11,8
15:00 - 15:10,14,8
15:10 - 15:20,18,13
15:20 - 15:30,20,14
15:30 - 15:40,23,15
15:40 - 15:50,25,15
15:50 - 16:00,25,13
16:00 - 16:10,27,18
16:10 - 16:20,22,15
16:20 - 16:30,20,10
16:30 - 16:40,18,12
16:40 - 16:50,17,12
16:50 - 17:00,14,9
17:00 - 17:10,20,11
17:10 - 17:20,19,13
17:20 - 17:30,24,16
17:30 - 17:40,22,16
17:40 - 17:50,21,16
17:50 - 18:00,15,12
18:00 - 18:10,10,7
18:10 - 18:20,9,4
18:20 - 18:30,5,4
18:30 - 18:40,3,2
18:40 - 18:50,1,1
18:50 - 19:00,1,1
