group_id,service_time
8,00:04:23
10,00:08:35
17,00:03:09
20,00:02:43
33,00:02:52
35,00:04:19
36,00:01:23
39,00:06:23
51,00:02:47
53,00:03:22
56,00:06:08
59,00:03:48
61,00:04:33
69,00:02:11
72,00:04:10
80,00:03:45
95,00:04:55
107,00:03:49
108,00:02:10
109,00:05:48
114,00:01:04
124,00:04:07
125,00:01:08
135,00:07:41
137,00:04:25
143,00:01:17
144,00:02:33
148,00:02:05
153,00:01:11
156,00:08:13
165,00:03:22
167,00:02:24
170,00:00:36
176,00:03:59
186,00:07:59
191,00:03:37
196,00:02:45
213,00:14:30
228,00:05:10
236,00:02:29
243,00:03:03
246,00:03:42
259,00:02:12
279,00:01:03
292,00:01:50
302,00:04:48
304,00:02:26
313,00:02:09
328,00:04:46
333,00:01:26
337,00:04:12
342,00:02:38
351,00:05:32
355,00:02:26
356,00:01:27
365,00:03:57
366,00:02:56
374,00:04:10
375,00:03:52
377,00:01:39
385,00:04:35
393,00:07:02
399,00:02:02
402,00:08:13
411,00:01:28
412,00:02:55
414,00:01:46
420,00:12:24
436,00:06:08
439,00:04:47
441,00:02:42
445,00:01:40
449,00:04:09
450,00:02:55
453,00:01:13
457,00:02:11
461,00:01:37
462,00:01:38
472,00:05:03
473,00:03:15
475,00:01:39
477,00:04:48
482,00:02:53
489,00:02:03
491,00:06:28
498,00:02:08
501,00:02:40
506,00:02:49
510,00:03:07
518,00:01:41
520,00:01:43
529,00:08:10
531,00:03:46
534,00:01:16
537,00:03:42
544,00:02:29
550,00:00:51
554,00:03:57
556,00:01:20
558,00:03:51
562,00:01:48
565,00:01:10
577,00:02:43
580,00:03:00
584,00:05:02
585,00:02:09
593,00:04:24
596,00:02:20
597,00:04:37
598,00:01:33
599,00:03:16
607,00:01:51
610,00:06:35
618,00:02:51
621,00:04:38
