time_band,no_of_people,no_of_groups
10:30 - 10:40,3,1
10:40 - 10:50,3,2
10:50 - 11:00,9,9
11:00 - 11:10,20,11
11:10 - 11:20,28,18
11:20 - 11:30,34,17
11:30 - 11:40,40,21
11:40 - 11:50,35,26
11:50 - 12:00,26,14
12:00 - 12:10,13,6
12:10 - 12:20,12,11
12:20 - 12:30,15,9
12:30 - 12:40,18,14
12:40 - 12:50,25,16
12:50 - 13:00,30,21
13:00 - 13:10,42,28
13:10 - 13:20,39,21
13:20 - 13:30,51,34
13:30 - 13:40,45,26
13:40 - 13:50,41,30
13:50 - 14:00,31,19
14:00 - 14:10,22,14
14:10 - 14:20,13,6
14:20 - 14:30,10,5
14:30 - 14:40,8,5
14:40 - 14:50,6,5
14:50 - 15:00,10,6
15:00 - 15:10,13,8
15:10 - 15:20,19,11
15:20 - 15:30,21,14
15:30 - 15:40,24,14
15:40 - 15:50,25,15
15:50 - 16:00,24,16
16:00 - 16:10,28,15
16:10 - 16:20,22,15
16:20 - 16:30,19,11
16:30 - 16:40,17,10
16:40 - 16:50,16,12
16:50 - 17:00,16,10
17:00 - 17:10,20,10
17:10 - 17:20,20,13
17:20 - 17:30,24,15
17:30 - 17:40,22,13
17:40 - 17:50,22,10
17:50 - 18:00,15,8
18:00 - 18:10,10,9
18:10 - 18:20,10,4
18:20 - 18:30,4,2
18:30 - 18:40,4,3
18:40 - 18:50,3,1
18:50 - 19:00,1,1
