service_time_seconds
227
105
90
82
178
113
173
235
95
199
165
146
193
333
86
65
460
82
157
200
136
146
58
452
80
130
154
159
243
224
109
102
70
211
88
92
95
282
67
186
87
254
239
114
153
87
197
108
136
162
131
53
72
122
161
203
136
110
96
200
269
83
93
126
186
163
252
182
91
201
187
184
93
122
311
182
170
89
166
417
113
134
167
80
90
285
78
67
155
146
69
297
126
208
95
130
55
103
66
232
