group_id,service_time
1,00:04:08
2,00:01:29
4,00:01:02
6,00:03:41
8,00:02:32
10,00:01:51
11,00:01:41
13,00:02:24
17,00:08:32
22,00:02:12
25,00:01:44
28,00:01:37
29,00:01:52
31,00:01:59
35,00:01:54
38,00:02:16
39,00:01:22
40,00:01:54
42,00:04:29
43,00:00:59
45,00:01:49
46,00:01:58
47,00:03:59
56,00:02:46
57,00:02:15
60,00:02:29
62,00:02:51
65,00:01:25
67,00:02:54
68,00:02:31
69,00:00:59
76,00:04:04
78,00:00:50
79,00:01:24
83,00:05:01
85,00:00:51
88,00:03:51
92,00:01:38
93,00:02:19
94,00:01:44
95,00:01:26
98,00:01:16
100,00:02:03
106,00:06:10
108,00:02:38
111,00:05:54
113,00:04:09
115,00:02:52
125,00:02:34
126,00:01:50
128,00:07:14
139,00:04:40
142,00:01:02
150,00:04:28
152,00:02:01
156,00:01:30
158,00:02:24
159,00:05:23
171,00:03:04
174,00:01:17
181,00:03:08
200,00:02:51
201,00:01:10
202,00:06:53
207,00:03:07
218,00:01:19
223,00:02:26
227,00:01:40
230,00:03:18
231,00:01:22
243,00:03:38
244,00:02:14
250,00:02:11
253,00:02:19
256,00:01:14
258,00:02:57
259,00:03:22
260,00:04:37
263,00:01:18
269,00:03:01
270,00:01:36
272,00:03:17
273,00:03:48
277,00:04:43
280,00:01:03
281,00:05:42
285,00:02:34
289,00:00:56
293,00:06:05
294,00:03:37
302,00:01:29
303,00:03:17
305,00:02:21
309,00:00:56
312,00:01:39
314,00:02:37
315,00:03:41
318,00:01:58
319,00:02:10
323,00:03:22
324,00:01:05
326,00:02:06
332,00:03:10
334,00:01:21
336,00:02:32
337,00:01:44
343,00:02:19
344,00:03:43
345,00:01:49
346,00:02:28
347,00:01:25
348,00:01:31
350,00:03:04
351,00:01:03
357,00:03:20
361,00:02:26
362,00:02:17
363,00:02:53
368,00:01:41
370,00:01:46
373,00:01:46
375,00:01:22
377,00:02:15
379,00:03:38
381,00:04:45
386,00:00:38
387,00:01:19
392,00:04:15
393,00:01:46
394,00:02:54
396,00:03:42
399,00:06:13
403,00:01:39
408,00:03:36
409,00:01:30
410,00:02:35
411,00:02:04
413,00:01:11
417,00:03:32
423,00:01:37
424,00:03:48
426,00:03:17
428,00:03:49
429,00:02:20
436,00:04:59
438,00:05:26
441,00:02:40
442,00:02:12
443,00:02:24
445,00:04:31
453,00:03:09
456,00:01:56
457,00:01:38
461,00:02:00
464,00:01:34
465,00:02:42
468,00:03:05
470,00:01:07
471,00:02:10
472,00:03:20
473,00:02:50
