time_band,groups_served,groups_rejected
10:40 - 10:50,1,0
10:50 - 11:00,2,0
11:00 - 11:10,6,0
11:10 - 11:20,6,6
11:20 - 11:30,5,4
11:30 - 11:40,3,10
11:40 - 11:50,3,9
11:50 - 12:00,3,6
12:00 - 12:10,5,0
12:10 - 12:20,3,1
12:20 - 12:30,4,2
12:30 - 12:40,4,4
12:40 - 12:50,3,5
12:50 - 13:00,4,8
13:00 - 13:10,4,9
13:10 - 13:20,5,8
13:20 - 13:30,4,10
13:30 - 13:40,4,10
13:40 - 13:50,6,8
13:50 - 14:00,3,7
14:00 - 14:10,4,6
14:10 - 14:20,3,1
14:20 - 14:30,4,0
14:30 - 14:40,3,0
14:40 - 14:50,2,0
14:50 - 15:00,4,0
15:00 - 15:10,4,0
15:10 - 15:20,5,0
15:20 - 15:30,6,0
15:30 - 15:40,7,3
15:40 - 15:50,3,7
15:50 - 16:00,3,5
16:00 - 16:10,1,9
16:10 - 16:20,4,2
16:20 - 16:30,4,2
16:30 - 16:40,5,2
16:40 - 16:50,3,3
16:50 - 17:00,3,2
17:00 - 17:10,4,3
17:10 - 17:20,4,3
17:20 - 17:30,4,5
17:30 - 17:40,4,5
17:40 - 17:50,5,4
17:50 - 18:00,3,3
18:00 - 18:10,3,0
18:10 - 18:20,3,0
18:20 - 18:30,1,0
18:30 - 18:40,2,0
18:40 - 18:50,1,0
