time_band,no_of_people,no_of_groups
10:40 - 10:50,5,1
10:50 - 11:00,8,2
11:00 - 11:10,20,6
11:10 - 11:20,29,12
11:20 - 11:30,35,9
11:30 - 11:40,39,13
11:40 - 11:50,33,12
11:50 - 12:00,25,9
12:00 - 12:10,12,5
12:10 - 12:20,13,4
12:20 - 12:30,16,6
12:30 - 12:40,18,8
12:40 - 12:50,24,8
12:50 - 13:00,31,12
13:00 - 13:10,40,13
13:10 - 13:20,41,13
13:20 - 13:30,51,14
13:30 - 13:40,44,14
13:40 - 13:50,41,14
13:50 - 14:00,32,10
14:00 - 14:10,23,10
14:10 - 14:20,14,4
14:20 - 14:30,10,4
14:30 - 14:40,7,3
14:40 - 14:50,7,2
14:50 - 15:00,12,4
15:00 - 15:10,12,4
15:10 - 15:20,18,5
15:20 - 15:30,20,6
15:30 - 15:40,25,10
15:40 - 15:50,28,10
15:50 - 16:00,24,8
16:00 - 16:10,28,10
16:10 - 16:20,21,6
16:20 - 16:30,19,6
16:30 - 16:40,19,7
16:40 - 16:50,17,6
16:50 - 17:00,14,5
17:00 - 17:10,20,7
17:10 - 17:20,20,7
17:20 - 17:30,22,9
17:30 - 17:40,22,9
17:40 - 17:50,21,9
17:50 - 18:00,15,6
18:00 - 18:10,9,3
18:10 - 18:20,12,3
18:20 - 18:30,3,1
18:30 - 18:40,4,2
18:40 - 18:50,3,1
