time_band,no_of_people,no_of_groups
10:20 - 10:30,1,1
10:30 - 10:40,2,2
10:40 - 10:50,3,2
10:50 - 11:00,9,5
11:00 - 11:10,20,12
11:10 - 11:20,29,18
11:20 - 11:30,34,20
11:30 - 11:40,40,26
11:40 - 11:50,34,19
11:50 - 12:00,26,17
12:00 - 12:10,13,8
12:10 - 12:20,12,8
12:20 - 12:30,15,8
12:30 - 12:40,18,13
12:40 - 12:50,25,17
12:50 - 13:00,30,21
13:00 - 13:10,42,26
13:10 - 13:20,40,25
13:20 - 13:30,52,30
13:30 - 13:40,44,24
13:40 - 13:50,42,28
13:50 - 14:00,30,17
14:00 - 14:10,23,15
14:10 - 14:20,13,8
14:20 - 14:30,11,8
14:30 - 14:40,7,4
14:40 - 14:50,7,4
14:50 - 15:00,11,5
15:00 - 15:10,12,9
15:10 - 15:20,18,14
15:20 - 15:30,21,14
15:30 - 15:40,23,14
15:40 - 15:50,26,13
15:50 - 16:00,24,15
16:00 - 16:10,28,17
16:10 - 16:20,21,15
16:20 - 16:30,20,14
16:30 - 16:40,17,12
16:40 - 16:50,18,8
16:50 - 17:00,15,9
17:00 - 17:10,20,13
17:10 - 17:20,18,9
17:20 - 17:30,24,16
17:30 - 17:40,22,16
17:40 - 17:50,22,17
17:50 - 18:00,15,11
18:00 - 18:10,10,5
18:10 - 18:20,9,4
18:20 - 18:30,5,4
18:30 - 18:40,4,3
18:40 - 18:50,2,2
