group_id,service_time
12,00:01:34
18,00:01:06
21,00:00:56
25,00:12:28
30,00:01:52
50,00:00:52
53,00:01:23
55,00:09:00
58,00:00:58
63,00:05:05
67,00:02:44
72,00:02:23
74,00:03:07
80,00:01:53
84,00:03:40
88,00:06:13
100,00:02:02
107,00:02:41
111,00:01:51
115,00:05:31
120,00:02:22
123,00:04:19
129,00:02:02
133,00:01:49
135,00:02:56
139,00:02:28
142,00:04:20
147,00:01:13
149,00:02:16
155,00:03:11
156,00:03:53
158,00:02:58
160,00:04:13
164,00:08:31
168,00:01:52
176,00:04:27
188,00:05:14
190,00:02:56
198,00:05:38
202,00:05:04
203,00:02:28
228,00:03:05
241,00:01:11
266,00:06:26
273,00:12:10
288,00:01:41
293,00:04:09
318,00:03:56
323,00:01:11
340,00:03:20
341,00:03:18
344,00:01:40
346,00:01:44
357,00:01:42
358,00:02:32
360,00:02:43
361,00:02:13
365,00:03:53
367,00:03:20
371,00:01:52
374,00:01:58
376,00:01:19
380,00:03:45
395,00:03:13
399,00:02:02
406,00:04:17
409,00:06:42
415,00:06:19
417,00:06:03
425,00:02:04
431,00:02:34
440,00:03:29
452,00:02:16
453,00:03:00
454,00:07:21
456,00:03:57
463,00:01:11
466,00:03:16
468,00:01:28
478,00:03:13
485,00:01:35
486,00:04:25
487,00:01:27
488,00:02:39
489,00:05:09
490,00:01:22
492,00:02:37
504,00:01:28
507,00:03:06
514,00:03:04
517,00:03:07
523,00:01:27
524,00:01:21
525,00:01:17
526,00:00:22
532,00:01:41
534,00:01:38
535,00:01:13
537,00:01:40
538,00:02:08
546,00:02:07
551,00:02:11
554,00:07:27
563,00:01:52
573,00:03:38
575,00:05:49
582,00:05:10
589,00:07:33
592,00:04:14
601,00:01:52
604,00:01:44
605,00:01:32
606,00:02:25
607,00:03:10
612,00:01:12
618,00:02:02
622,00:01:49
625,00:03:40
629,00:01:27
631,00:03:33
