group_id,service_time
3,00:01:48
6,00:02:01
10,00:01:50
15,00:03:25
19,00:05:14
23,00:08:08
26,00:00:45
27,00:02:06
31,00:04:14
45,00:02:48
49,00:01:37
54,00:02:56
56,00:01:24
57,00:04:32
64,00:02:16
65,00:04:24
68,00:01:31
69,00:03:36
75,00:01:14
82,00:06:03
93,00:01:23
94,00:04:11
103,00:02:55
109,00:07:31
110,00:02:19
118,00:01:50
125,00:04:17
127,00:02:41
128,00:02:31
131,00:01:17
137,00:01:38
141,00:01:49
143,00:02:24
144,00:01:39
150,00:02:32
153,00:02:28
157,00:07:59
162,00:03:49
167,00:01:12
169,00:07:24
170,00:03:17
178,00:01:36
192,00:04:29
196,00:02:10
199,00:02:01
201,00:02:24
204,00:01:29
206,00:03:19
209,00:01:51
212,00:02:09
216,00:01:25
235,00:01:13
238,00:01:31
245,00:00:57
247,00:01:55
250,00:03:18
262,00:03:42
268,00:03:05
289,00:04:33
290,00:02:33
299,00:02:55
300,00:03:19
301,00:00:59
309,00:01:17
313,00:02:18
338,00:08:42
342,00:06:10
348,00:01:37
350,00:02:59
356,00:03:36
363,00:02:25
368,00:03:52
373,00:05:47
381,00:05:16
382,00:01:40
386,00:00:37
390,00:03:07
391,00:02:53
394,00:01:33
396,00:03:45
400,00:02:40
403,00:01:47
412,00:05:24
414,00:02:17
420,00:04:18
421,00:01:33
423,00:06:36
430,00:01:41
432,00:01:49
436,00:00:31
438,00:01:44
441,00:01:56
443,00:00:20
444,00:02:18
447,00:03:39
450,00:05:45
451,00:02:11
460,00:03:36
461,00:07:55
472,00:02:29
474,00:00:56
475,00:02:13
481,00:02:29
493,00:01:21
495,00:02:10
497,00:01:34
500,00:02:41
501,00:01:31
502,00:02:42
505,00:07:09
506,00:00:53
509,00:02:03
510,00:02:19
516,00:01:16
519,00:10:09
544,00:01:01
545,00:02:46
549,00:10:04
558,00:04:18
559,00:03:32
570,00:03:46
576,00:01:01
579,00:00:46
580,00:07:04
583,00:02:41
584,00:01:16
591,00:04:34
599,00:03:33
603,00:01:34
608,00:01:47
609,00:04:50
613,00:06:41
614,00:01:53
617,00:03:24
627,00:02:40
630,00:03:43
636,00:06:28
637,00:02:05
641,00:05:08
645,00:07:26
