time_band,groups_served,groups_rejected
10:00 - 10:10,1,0
10:30 - 10:40,2,0
10:40 - 10:50,3,0
10:50 - 11:00,8,0
11:00 - 11:10,12,0
11:10 - 11:20,20,0
11:20 - 11:30,14,12
11:30 - 11:40,11,15
11:40 - 11:50,11,7
11:50 - 12:00,9,7
12:10 - 12:20,6,1
12:00 - 12:10,9,0
12:20 - 12:30,11,0
12:30 - 12:40,12,0
12:40 - 12:50,11,4
12:50 - 13:00,11,8
13:00 - 13:10,11,18
13:10 - 13:20,11,16
13:20 - 13:30,10,19
13:30 - 13:40,9,14
13:40 - 13:50,9,16
13:50 - 14:00,13,12
14:00 - 14:10,8,8
14:10 - 14:20,11,0
14:20 - 14:30,5,0
14:30 - 14:40,4,0
14:40 - 14:50,3,0
14:50 - 15:00,6,0
15:00 - 15:10,6,0
15:10 - 15:20,11,0
15:20 - 15:30,12,0
15:30 - 15:40,17,0
15:40 - 15:50,16,1
15:50 - 16:00,8,5
16:00 - 16:10,9,10
16:10 - 16:20,9,4
16:20 - 16:30,13,3
16:30 - 16:40,12,0
16:40 - 16:50,10,1
16:50 - 17:00,8,0
17:00 - 17:10,10,0
17:20 - 17:30,13,4
17:10 - 17:20,12,0
17:30 - 17:40,7,9
17:40 - 17:50,9,5
17:50 - 18:00,8,0
18:00 - 18:10,7,0
18:10 - 18:20,9,0
18:20 - 18:30,5,0
18:30 - 18:40,1,0
18:40 - 18:50,2,0
