group_id,size,status,time_band,arrival_time,in_queue_time,service_start_time,service_time,wait_time,served_by
1,2,Served,10:30 - 10:40,10:35:14,00:00:00,10:35:14,00:04:14,00:04:14,h1
2,2,Served,10:40 - 10:50,10:49:40,00:00:00,10:49:40,00:01:59,00:01:59,h1
3,2,Served,10:40 - 10:50,10:44:44,00:00:00,10:44:44,00:04:44,00:04:44,h1
4,2,Served,10:50 - 11:00,10:59:53,00:00:00,10:59:53,00:01:12,00:01:12,h1
5,4,Served,10:50 - 11:00,10:52:20,00:00:00,10:52:20,00:01:04,00:01:04,h1
6,2,Served,10:50 - 11:00,10:54:53,00:00:00,10:54:53,00:01:50,00:01:50,h1
7,2,Served,11:00 - 11:10,11:01:37,00:00:00,11:01:37,00:02:58,00:02:58,h1
8,2,Served,11:00 - 11:10,11:00:52,00:00:00,11:00:52,00:02:41,00:02:41,h2
9,2,Served,11:00 - 11:10,11:06:12,00:00:00,11:06:12,00:03:43,00:03:43,k1
10,2,Served,11:00 - 11:10,11:06:11,00:00:00,11:06:11,00:01:05,00:01:05,h1
11,2,Served,11:00 - 11:10,11:01:57,00:00:00,11:01:57,00:01:05,00:01:05,k1
12,2,Served,11:00 - 11:10,11:02:13,00:00:49,11:03:02,00:01:14,00:02:03,k1
13,2,Served,11:00 - 11:10,11:09:45,00:00:00,11:09:45,00:02:59,00:02:59,h1
14,5,Served,11:00 - 11:10,11:04:04,00:00:00,11:04:04,00:05:11,00:05:11,h2
15,3,Served,11:10 - 11:20,11:12:43,00:00:01,11:12:44,00:02:50,00:02:51,h1
16,2,Served,11:10 - 11:20,11:17:44,00:00:44,11:18:28,00:02:37,00:03:21,h1
17,3,Served,11:10 - 11:20,11:13:30,00:00:56,11:14:26,00:00:58,00:01:54,h2
18,2,Served,11:10 - 11:20,11:12:24,00:00:00,11:12:24,00:02:02,00:02:02,h2
19,3,Served,11:10 - 11:20,11:13:25,00:00:16,11:13:41,00:03:13,00:03:29,k1
20,2,Served,11:10 - 11:20,11:14:51,00:00:33,11:15:24,00:01:28,00:02:01,h2
21,2,Served,11:10 - 11:20,11:15:24,00:00:10,11:15:34,00:02:54,00:03:04,h1
22,2,Served,11:10 - 11:20,11:18:02,00:01:04,11:19:06,00:03:18,00:04:22,k1
23,2,Served,11:10 - 11:20,11:16:37,00:00:15,11:16:52,00:03:04,00:03:19,h2
24,2,Served,11:10 - 11:20,11:12:33,00:00:00,11:12:33,00:01:08,00:01:08,k1
25,4,Served,11:10 - 11:20,11:10:30,00:00:00,11:10:30,00:01:06,00:01:06,h2
26,2,Served,11:10 - 11:20,11:17:32,00:00:00,11:17:32,00:01:34,00:01:34,k1
27,2,Served,11:20 - 11:30,11:27:05,00:02:05,11:29:10,00:02:07,00:04:12,h2
28,1,Served,11:20 - 11:30,11:28:28,00:02:38,11:31:06,00:03:37,00:06:15,h1
29,2,Served,11:20 - 11:30,11:23:57,00:01:16,11:25:13,00:02:25,00:03:41,k1
30,4,Served,11:20 - 11:30,11:20:14,00:00:32,11:20:46,00:01:53,00:02:25,h2
31,2,Served,11:20 - 11:30,11:21:33,00:01:06,11:22:39,00:02:21,00:03:27,h2
32,2,Served,11:20 - 11:30,11:29:51,00:03:14,11:33:05,00:02:04,00:05:18,k1
33,2,Served,11:20 - 11:30,11:20:22,00:00:43,11:21:05,00:01:44,00:02:27,h1
34,1,Served,11:20 - 11:30,11:24:40,00:01:16,11:25:56,00:03:14,00:04:30,h2
