time_band,no_of_people,no_of_groups
10:40 - 10:50,4,1
10:50 - 11:00,8,2
11:00 - 11:10,19,7
11:10 - 11:20,28,8
11:20 - 11:30,34,10
11:30 - 11:40,40,12
11:40 - 11:50,33,14
11:50 - 12:00,28,8
12:00 - 12:10,14,4
12:10 - 12:20,11,3
12:20 - 12:30,15,5
12:30 - 12:40,18,8
12:40 - 12:50,24,9
12:50 - 13:00,31,10
13:00 - 13:10,42,13
13:10 - 13:20,39,14
13:20 - 13:30,51,15
13:30 - 13:40,43,14
13:40 - 13:50,41,15
13:50 - 14:00,32,10
14:00 - 14:10,22,6
14:10 - 14:20,14,4
14:20 - 14:30,9,4
14:30 - 14:40,8,2
14:40 - 14:50,6,2
14:50 - 15:00,11,3
15:00 - 15:10,11,4
15:10 - 15:20,17,6
15:20 - 15:30,19,5
15:30 - 15:40,24,8
15:40 - 15:50,28,8
15:50 - 16:00,25,8
16:00 - 16:10,26,7
16:10 - 16:20,23,7
16:20 - 16:30,18,5
16:30 - 16:40,18,8
16:40 - 16:50,17,5
16:50 - 17:00,15,6
17:00 - 17:10,22,7
17:10 - 17:20,20,6
17:20 - 17:30,23,7
17:30 - 17:40,21,7
17:40 - 17:50,23,6
17:50 - 18:00,13,4
18:00 - 18:10,11,4
18:10 - 18:20,9,3
18:20 - 18:30,4,1
18:30 - 18:40,4,1
18:40 - 18:50,3,1
