group_id,service_time
1,00:02:22
2,00:01:55
3,00:01:37
4,00:02:34
6,00:03:39
11,00:03:51
13,00:03:53
20,00:01:43
21,00:04:27
26,00:01:51
31,00:03:10
35,00:02:14
41,00:03:15
44,00:04:17
46,00:04:29
48,00:02:05
50,00:06:24
51,00:01:02
53,00:01:53
59,00:03:16
62,00:02:38
68,00:06:34
71,00:01:34
72,00:03:24
73,00:01:11
74,00:01:46
76,00:06:37
77,00:01:22
81,00:02:51
82,00:01:55
86,00:05:29
87,00:01:46
88,00:02:18
101,00:02:40
102,00:03:36
105,00:02:26
112,00:02:34
115,00:01:59
117,00:02:25
119,00:02:04
120,00:01:03
122,00:01:20
126,00:04:41
130,00:01:20
133,00:02:07
134,00:02:23
137,00:01:20
141,00:02:07
143,00:02:15
148,00:05:10
149,00:02:19
150,00:02:12
151,00:02:16
159,00:03:21
161,00:03:59
169,00:04:52
171,00:03:40
177,00:02:52
180,00:04:59
181,00:03:12
189,00:02:35
190,00:01:37
191,00:01:38
192,00:01:28
194,00:03:39
197,00:01:38
198,00:01:22
200,00:01:26
204,00:04:35
205,00:01:36
206,00:01:16
207,00:01:09
210,00:03:06
212,00:01:31
215,00:01:50
217,00:02:36
218,00:02:25
223,00:01:27
228,00:02:28
230,00:01:27
231,00:00:55
232,00:03:24
233,00:02:46
234,00:01:25
235,00:02:40
244,00:02:38
245,00:02:19
247,00:02:46
248,00:01:40
251,00:01:29
252,00:01:35
254,00:01:14
257,00:03:03
258,00:04:15
259,00:01:05
261,00:01:55
264,00:01:20
268,00:04:34
269,00:02:13
270,00:03:10
271,00:01:58
273,00:01:51
276,00:01:31
278,00:04:17
280,00:01:40
281,00:05:20
286,00:01:56
292,00:02:46
294,00:02:12
295,00:02:18
298,00:01:18
299,00:03:16
301,00:01:53
302,00:02:09
303,00:01:45
306,00:01:43
308,00:03:30
310,00:01:06
312,00:02:23
313,00:00:50
314,00:02:17
315,00:00:38
316,00:02:31
317,00:01:49
318,00:02:46
319,00:02:33
320,00:01:18
