time_band,no_of_people,no_of_groups
10:30 - 10:40,3,1
10:40 - 10:50,3,1
10:50 - 11:00,9,4
11:00 - 11:10,21,9
11:10 - 11:20,28,9
11:20 - 11:30,33,15
11:30 - 11:40,40,13
11:40 - 11:50,32,11
11:50 - 12:00,28,10
12:00 - 12:10,11,3
12:10 - 12:20,14,4
12:20 - 12:30,14,6
12:30 - 12:40,17,6
12:40 - 12:50,23,9
12:50 - 13:00,28,11
13:00 - 13:10,41,13
13:10 - 13:20,42,15
13:20 - 13:30,50,18
13:30 - 13:40,44,16
13:40 - 13:50,41,13
13:50 - 14:00,31,12
14:00 - 14:10,24,6
14:10 - 14:20,12,3
14:20 - 14:30,10,3
14:30 - 14:40,9,3
14:40 - 14:50,6,3
14:50 - 15:00,9,4
15:00 - 15:10,12,4
15:10 - 15:20,18,6
15:20 - 15:30,21,8
15:30 - 15:40,23,9
15:40 - 15:50,26,8
15:50 - 16:00,26,9
16:00 - 16:10,27,9
16:10 - 16:20,24,7
16:20 - 16:30,20,7
16:30 - 16:40,18,7
16:40 - 16:50,17,6
16:50 - 17:00,16,6
17:00 - 17:10,20,8
17:10 - 17:20,20,8
17:20 - 17:30,24,8
17:30 - 17:40,22,12
17:40 - 17:50,21,9
17:50 - 18:00,14,5
18:00 - 18:10,9,3
18:10 - 18:20,8,3
18:20 - 18:30,4,2
18:30 - 18:40,4,1
18:40 - 18:50,3,1
