group_id,service_time
12,00:05:31
18,00:02:31
25,00:03:23
26,00:01:58
27,00:06:18
29,00:01:53
31,00:04:29
34,00:02:28
40,00:05:10
41,00:00:57
42,00:02:34
45,00:04:08
48,00:01:33
54,00:03:00
56,00:04:54
57,00:03:15
64,00:10:18
66,00:02:52
82,00:02:11
85,00:02:12
89,00:02:26
91,00:03:59
96,00:02:22
100,00:03:17
101,00:03:13
105,00:02:33
108,00:02:05
111,00:01:39
114,00:00:47
117,00:03:58
119,00:01:34
126,00:06:21
129,00:05:58
132,00:03:10
133,00:02:51
137,00:03:36
144,00:02:04
145,00:03:00
147,00:03:51
149,00:05:15
173,00:01:29
174,00:02:11
182,00:02:01
184,00:04:47
190,00:01:47
193,00:04:06
195,00:01:39
196,00:01:19
205,00:02:48
220,00:01:27
223,00:03:48
226,00:04:03
227,00:04:04
235,00:02:32
237,00:01:17
238,00:01:39
241,00:03:27
254,00:01:15
255,00:00:48
256,00:04:30
261,00:07:24
263,00:03:40
267,00:02:40
268,00:03:48
270,00:03:28
275,00:05:32
280,00:03:24
281,00:02:42
289,00:00:50
292,00:04:39
293,00:05:15
295,00:02:53
302,00:06:30
309,00:05:13
314,00:01:39
316,00:01:29
317,00:01:38
319,00:05:14
321,00:03:37
325,00:01:56
328,00:00:54
330,00:05:58
331,00:03:02
334,00:01:31
335,00:00:46
339,00:04:02
340,00:02:58
347,00:04:25
349,00:02:55
354,00:01:43
356,00:04:52
357,00:01:20
360,00:02:47
361,00:03:50
363,00:02:26
369,00:02:12
374,00:02:47
375,00:03:28
378,00:03:45
379,00:03:10
380,00:01:38
385,00:01:08
388,00:02:13
389,00:00:49
390,00:02:16
393,00:02:13
394,00:02:02
396,00:04:05
400,00:06:39
403,00:00:54
404,00:01:17
413,00:06:25
416,00:02:47
421,00:07:37
424,00:01:29
425,00:00:52
429,00:03:34
431,00:11:14
435,00:02:14
437,00:05:22
444,00:08:56
450,00:06:28
