time_band,no_of_people,no_of_groups
10:40 - 10:50,4,3
10:50 - 11:00,8,4
11:00 - 11:10,20,12
11:10 - 11:20,29,13
11:20 - 11:30,34,13
11:30 - 11:40,38,17
11:40 - 11:50,34,13
11:50 - 12:00,27,15
12:00 - 12:10,12,4
12:10 - 12:20,11,3
12:20 - 12:30,14,7
12:30 - 12:40,17,8
12:40 - 12:50,25,9
12:50 - 13:00,29,15
13:00 - 13:10,42,20
13:10 - 13:20,40,17
13:20 - 13:30,50,22
13:30 - 13:40,44,20
13:40 - 13:50,40,15
13:50 - 14:00,32,16
14:00 - 14:10,22,11
14:10 - 14:20,13,6
14:20 - 14:30,11,6
14:30 - 14:40,8,3
14:40 - 14:50,6,3
14:50 - 15:00,12,3
15:00 - 15:10,11,6
15:10 - 15:20,18,8
15:20 - 15:30,21,9
15:30 - 15:40,22,11
15:40 - 15:50,27,11
15:50 - 16:00,24,13
16:00 - 16:10,27,11
16:10 - 16:20,23,12
16:20 - 16:30,20,8
16:30 - 16:40,17,8
16:40 - 16:50,16,6
16:50 - 17:00,15,7
17:00 - 17:10,20,9
17:10 - 17:20,20,8
17:20 - 17:30,23,10
17:30 - 17:40,21,11
17:40 - 17:50,21,9
17:50 - 18:00,14,8
18:00 - 18:10,11,3
18:10 - 18:20,10,5
18:20 - 18:30,5,2
18:30 - 18:40,3,2
18:40 - 18:50,3,1
19:00 - 19:10,1,1
