time_band,no_of_people,no_of_groups
10:30 - 10:40,3,1
10:40 - 10:50,3,1
10:50 - 11:00,8,4
11:00 - 11:10,20,10
11:10 - 11:20,28,10
11:20 - 11:30,33,15
11:30 - 11:40,40,17
11:40 - 11:50,32,15
11:50 - 12:00,27,11
12:00 - 12:10,13,6
12:10 - 12:20,11,6
12:20 - 12:30,16,7
12:30 - 12:40,19,8
12:40 - 12:50,25,11
12:50 - 13:00,30,12
13:00 - 13:10,42,18
13:10 - 13:20,40,17
13:20 - 13:30,51,22
13:30 - 13:40,43,24
13:40 - 13:50,40,19
13:50 - 14:00,33,14
14:00 - 14:10,23,11
14:10 - 14:20,14,6
14:20 - 14:30,9,5
14:30 - 14:40,8,4
14:40 - 14:50,4,2
14:50 - 15:00,11,5
15:00 - 15:10,12,7
15:10 - 15:20,17,6
15:20 - 15:30,21,8
15:30 - 15:40,22,8
15:40 - 15:50,24,11
15:50 - 16:00,26,11
16:00 - 16:10,27,14
16:10 - 16:20,22,10
16:20 - 16:30,20,9
16:30 - 16:40,18,10
16:40 - 16:50,15,8
16:50 - 17:00,15,9
17:00 - 17:10,20,8
17:10 - 17:20,19,8
17:20 - 17:30,22,10
17:30 - 17:40,21,9
17:40 - 17:50,21,10
17:50 - 18:00,15,7
18:00 - 18:10,10,5
18:10 - 18:20,10,6
18:20 - 18:30,4,2
18:30 - 18:40,6,2
18:40 - 18:50,3,1
