arrival_time,in_queue_time
10:07:49,00:00:00
10:27:50,00:00:00
10:34:22,00:00:00
10:47:06,00:00:00
10:47:44,00:00:38
10:54:07,00:00:00
10:54:24,00:04:47
10:57:18,00:04:50
10:58:55,00:04:42
10:59:06,00:10:06
10:59:47,00:12:09
11:00:10,00:14:32
11:01:34,N/A
11:01:52,N/A
11:02:13,00:16:04
11:02:27,N/A
11:04:44,00:17:07
11:05:35,N/A
11:06:06,N/A
11:08:28,N/A
11:09:36,00:14:20
11:10:07,N/A
11:11:13,N/A
11:11:38,N/A
11:12:46,00:13:52
11:14:19,N/A
11:15:06,00:13:25
11:16:00,N/A
11:16:40,N/A
11:17:32,N/A
11:18:07,N/A
11:18:36,00:12:04
11:18:49,N/A
11:19:35,N/A
11:20:04,N/A
11:20:52,N/A
11:21:27,N/A
11:22:34,00:10:30
11:23:53,N/A
11:25:19,00:09:52
11:25:21,N/A
11:25:40,N/A
11:26:26,N/A
11:27:01,00:11:33
11:27:37,N/A
11:27:41,N/A
11:27:44,N/A
11:27:51,N/A
11:28:15,N/A
11:29:17,00:13:07
11:29:29,N/A
11:30:34,N/A
11:30:37,N/A
11:30:59,00:12:53
11:31:46,N/A
11:32:08,N/A
11:32:12,N/A
11:32:56,N/A
11:33:40,00:13:06
11:34:52,N/A
11:35:02,N/A
11:36:07,00:15:44
11:36:25,N/A
11:36:51,N/A
11:37:08,N/A
11:38:08,N/A
11:38:37,00:16:07
11:40:12,N/A
11:40:46,N/A
11:42:10,N/A
11:42:10,N/A
11:43:12,00:13:18
11:43:15,N/A
11:44:16,00:13:50
11:44:24,N/A
11:45:07,N/A
11:45:21,N/A
11:45:43,N/A
11:45:47,N/A
11:46:23,N/A
11:47:44,00:12:47
11:47:59,N/A
11:48:09,N/A
11:48:10,N/A
11:49:17,N/A
11:49:43,N/A
11:50:24,N/A
11:51:18,N/A
11:53:05,00:11:00
11:54:12,N/A
11:54:16,N/A
11:54:30,N/A
11:56:45,00:11:43
11:59:22,00:12:52
11:59:23,00:15:46
11:59:30,N/A
11:59:48,N/A
12:00:06,N/A
12:04:08,00:11:59
12:05:02,00:12:38
12:05:48,N/A
12:08:45,00:10:49
12:09:09,N/A
12:09:24,N/A
12:11:38,N/A
12:13:34,00:11:28
12:14:12,N/A
12:15:48,00:12:39
12:18:30,00:10:57
12:19:18,00:12:17
12:21:52,00:11:07
12:21:58,N/A
12:23:35,N/A
12:24:23,N/A
12:26:17,00:10:43
12:26:26,N/A
12:29:35,00:09:18
12:30:38,00:09:55
12:31:00,N/A
12:31:23,N/A
12:32:39,00:10:59
12:34:52,00:12:33
12:34:57,N/A
12:36:39,N/A
12:38:10,00:11:50
12:39:07,00:12:18
12:40:12,N/A
12:40:42,00:12:37
12:42:11,N/A
12:43:03,N/A
12:43:50,00:13:41
12:44:46,N/A
12:46:13,N/A
12:47:20,N/A
12:51:53,00:08:38
12:52:48,00:09:24
12:54:11,00:09:58
12:55:08,00:10:48
12:55:10,N/A
12:56:23,N/A
12:57:16,N/A
12:57:36,00:10:42
12:57:55,N/A
12:58:26,N/A
12:59:14,N/A
12:59:35,N/A
12:59:52,N/A
13:00:14,N/A
13:00:23,N/A
13:01:12,00:10:44
13:01:32,N/A
13:01:39,N/A
13:03:09,00:19:35
13:03:41,N/A
13:04:45,00:20:11
13:04:47,N/A
13:05:02,N/A
13:05:18,N/A
13:06:02,00:21:29
13:06:30,N/A
13:07:23,N/A
13:07:23,N/A
13:07:24,N/A
13:08:05,N/A
13:08:29,00:20:24
13:09:54,N/A
13:10:54,N/A
13:12:21,00:19:36
13:12:56,N/A
13:13:22,N/A
13:13:26,N/A
13:13:45,N/A
13:14:29,N/A
13:14:51,N/A
13:15:17,N/A
13:16:36,N/A
13:16:53,N/A
13:17:30,N/A
13:18:21,N/A
13:18:34,N/A
13:18:58,N/A
13:19:17,N/A
13:20:05,N/A
13:20:20,N/A
13:20:21,N/A
13:20:43,N/A
13:21:10,N/A
13:21:53,N/A
13:22:03,N/A
13:22:31,N/A
13:22:38,N/A
13:22:50,00:13:11
13:23:09,N/A
13:23:28,N/A
13:24:06,N/A
13:24:44,N/A
13:24:47,N/A
13:24:58,00:12:48
13:25:06,N/A
13:25:53,N/A
13:26:14,N/A
13:26:24,N/A
13:26:43,N/A
13:26:43,N/A
13:26:46,N/A
13:27:29,N/A
13:27:38,00:12:39
13:28:19,N/A
13:29:12,00:12:48
13:30:17,N/A
13:30:34,N/A
13:31:40,N/A
13:31:54,N/A
13:32:01,00:11:53
13:32:20,N/A
13:32:22,N/A
13:33:14,N/A
13:34:47,N/A
13:34:51,N/A
13:35:21,N/A
13:36:06,00:09:54
13:37:50,00:10:34
13:38:08,N/A
13:38:26,N/A
13:38:36,N/A
13:38:55,N/A
13:39:30,N/A
13:40:01,N/A
13:40:20,00:10:00
13:40:28,N/A
13:41:08,N/A
13:42:33,00:10:29
13:42:36,N/A
13:42:55,N/A
13:43:29,N/A
13:43:53,N/A
13:44:37,00:10:00
13:45:04,N/A
13:46:10,00:11:57
13:46:52,N/A
13:47:23,N/A
13:48:13,N/A
13:48:14,N/A
13:48:26,00:11:26
13:49:06,N/A
13:49:15,N/A
13:49:57,N/A
13:50:39,00:10:17
13:51:47,N/A
13:51:57,N/A
13:52:10,N/A
13:52:36,N/A
13:52:54,N/A
13:53:17,00:08:34
13:53:51,N/A
13:54:17,N/A
13:55:36,00:08:44
13:55:43,N/A
13:56:12,N/A
13:57:05,N/A
13:57:43,N/A
13:57:51,N/A
13:59:03,00:08:13
13:59:22,N/A
14:00:15,00:07:49
14:01:43,00:07:57
14:03:57,00:08:38
14:06:12,00:08:24
14:06:35,N/A
14:06:58,N/A
14:07:37,00:09:09
14:09:19,00:08:59
14:09:58,00:11:39
14:11:10,N/A
14:11:41,N/A
14:13:41,00:12:20
14:16:55,00:11:13
14:17:33,00:11:57
14:18:18,N/A
14:22:59,00:11:19
14:23:00,00:13:33
14:24:33,N/A
14:24:39,N/A
14:29:29,00:08:48
14:29:57,00:13:00
14:34:35,00:10:28
14:35:28,00:12:30
14:39:10,00:10:31
14:40:58,00:09:35
14:44:12,00:09:17
14:46:52,00:08:16
14:52:11,00:05:03
14:53:08,00:06:15
14:55:31,00:06:07
14:55:43,00:07:49
14:57:29,00:08:49
14:59:53,00:08:45
15:00:49,00:09:57
15:02:25,00:12:38
15:04:23,00:13:49
15:08:02,00:11:31
15:08:32,N/A
15:09:32,00:12:44
15:12:15,00:11:57
15:14:09,N/A
15:14:30,N/A
15:14:50,N/A
15:15:57,00:11:59
15:16:02,N/A
15:16:52,N/A
15:18:29,00:11:32
15:19:07,N/A
15:19:21,N/A
15:21:03,00:10:37
15:21:26,N/A
15:21:58,N/A
15:22:09,N/A
15:23:44,00:10:22
15:26:52,00:10:00
15:26:58,N/A
15:27:35,N/A
15:27:44,N/A
15:28:33,00:10:16
15:29:03,N/A
15:29:20,N/A
15:29:53,N/A
15:30:07,00:10:25
15:30:55,N/A
15:31:29,N/A
15:33:04,00:09:20
15:34:05,N/A
15:34:15,00:12:04
15:34:21,N/A
15:34:27,N/A
15:35:41,N/A
15:35:57,N/A
15:37:46,00:15:14
15:39:09,00:15:12
15:39:25,N/A
15:40:04,N/A
15:40:25,N/A
15:41:11,N/A
15:41:11,00:16:39
15:43:25,00:15:12
15:43:36,N/A
15:43:57,N/A
15:44:55,N/A
15:46:11,N/A
15:46:42,00:13:39
15:47:28,N/A
15:47:50,N/A
15:48:09,N/A
15:50:23,N/A
15:53:01,00:08:49
15:54:10,N/A
15:55:48,00:07:52
15:57:17,N/A
15:57:17,N/A
15:57:44,N/A
15:57:52,00:10:23
15:57:54,N/A
15:58:33,N/A
15:59:23,00:11:20
16:00:58,00:13:23
16:01:02,N/A
16:01:24,N/A
16:03:14,00:13:02
16:03:24,N/A
16:04:04,00:14:11
16:04:52,N/A
16:05:03,N/A
16:07:28,N/A
16:08:13,N/A
16:09:40,N/A
16:09:40,00:10:09
16:09:50,N/A
16:10:11,N/A
16:10:56,00:11:00
16:15:26,00:08:51
16:17:11,00:08:39
16:18:24,00:08:52
16:18:41,N/A
16:19:13,N/A
16:19:36,N/A
16:20:17,00:10:51
16:20:26,N/A
16:22:00,00:09:48
16:25:11,00:08:03
16:25:30,N/A
16:25:50,N/A
16:26:54,00:08:19
16:27:55,00:09:28
16:31:05,N/A
16:33:53,00:05:19
16:34:11,00:06:29
16:34:25,00:07:33
16:34:55,N/A
16:35:00,N/A
16:36:25,00:06:33
16:37:46,00:09:02
16:38:52,N/A
16:41:11,00:09:43
16:41:21,00:13:50
16:43:18,00:14:09
16:44:19,00:15:23
16:44:55,N/A
16:46:42,N/A
16:48:49,00:13:06
16:49:17,N/A
