arrival_time,wait_time
10:37:17,00:02:22
10:40:13,00:02:34
10:41:19,00:03:02
10:52:01,00:01:25
10:54:31,00:05:29
10:58:05,00:02:27
10:58:15,00:04:48
11:00:05,00:02:55
11:01:52,00:01:55
11:02:16,00:03:02
11:02:58,00:01:48
11:04:54,00:02:12
11:05:28,00:02:24
11:05:56,00:03:53
11:06:26,00:02:40
11:08:02,00:01:50
11:08:24,00:03:04
11:09:17,00:03:46
11:09:55,00:02:06
11:10:11,00:06:09
11:10:47,00:05:28
11:11:11,00:03:04
11:11:21,00:07:31
11:11:52,00:04:38
11:13:56,00:03:18
11:17:02,00:01:47
11:17:45,00:02:16
11:19:03,00:03:33
11:19:05,00:00:53
11:21:11,00:01:31
11:21:11,00:02:28
11:21:20,00:01:50
11:21:31,00:02:23
11:22:04,00:03:10
11:22:16,00:02:25
11:22:35,00:02:06
11:23:09,00:07:40
11:23:25,00:09:20
11:24:12,00:01:42
11:24:21,00:09:02
11:25:24,00:01:17
11:25:26,00:02:30
11:25:27,00:02:49
11:27:04,00:02:56
11:27:16,00:02:32
11:28:57,00:01:44
11:32:26,00:04:04
11:32:47,00:00:44
11:34:01,00:01:12
11:34:22,00:04:37
11:34:42,00:02:58
11:35:42,00:02:22
11:36:16,00:03:14
11:36:23,00:06:44
11:37:20,00:05:19
11:38:32,00:08:01
11:38:42,00:02:57
11:38:43,00:01:44
11:38:52,00:04:26
11:39:00,00:06:23
11:39:20,00:07:21
11:39:21,00:08:33
11:40:49,00:04:57
11:42:15,00:05:39
11:42:18,00:07:47
11:42:44,00:07:47
11:42:47,00:12:28
11:43:07,00:11:20
11:43:33,00:05:12
11:44:44,00:09:39
11:45:50,00:06:44
11:47:26,00:04:48
11:47:42,00:07:08
11:47:47,00:07:37
11:48:00,00:08:23
11:48:01,00:10:45
11:48:36,00:10:14
11:49:55,00:08:01
11:50:17,00:10:13
11:50:30,00:06:43
11:51:25,00:10:18
11:51:31,00:07:58
11:51:37,00:08:29
11:52:05,00:10:12
11:52:09,00:10:44
11:52:11,00:13:51
11:52:41,00:13:33
11:55:23,00:08:47
11:56:32,00:11:41
11:56:48,00:09:26
11:58:21,00:06:59
11:59:07,00:08:15
12:02:27,00:04:40
12:02:50,00:04:20
12:03:44,00:05:56
12:04:35,00:04:56
12:05:40,00:06:59
12:07:44,00:02:09
12:08:02,00:02:12
12:10:52,00:06:35
12:13:22,00:01:46
12:17:08,00:02:34
12:18:42,00:03:39
12:19:39,00:08:13
12:20:09,00:01:29
12:21:45,00:03:10
12:21:46,00:03:08
12:23:48,00:02:51
12:24:47,00:06:25
12:29:22,00:00:53
12:30:04,00:02:41
12:32:09,00:02:10
12:33:00,00:01:52
12:35:13,00:02:55
12:35:15,00:02:45
12:36:17,00:03:53
12:37:06,00:03:23
12:40:44,00:06:27
12:40:52,00:01:41
12:41:28,00:03:13
12:41:37,00:02:15
12:43:19,00:00:50
12:43:29,00:02:49
