time,length
00:00:00,0
10:37:17,1
10:37:17,0
10:40:13,1
10:40:13,0
10:41:19,1
10:41:19,0
10:52:01,1
10:52:01,0
10:54:31,1
10:54:31,0
10:58:05,1
10:58:05,0
10:58:15,1
10:58:15,0
11:00:05,1
11:00:05,0
11:01:52,1
11:01:52,0
11:02:16,1
11:02:16,0
11:02:58,1
11:02:58,0
11:04:54,1
11:04:54,0
11:05:28,1
11:05:28,0
11:05:56,1
11:05:56,0
11:06:26,1
11:06:26,0
11:08:02,1
11:08:02,0
11:08:24,1
11:08:24,0
11:09:17,1
11:09:17,0
11:09:55,1
11:09:55,0
11:10:11,1
11:10:11,0
11:10:47,1
11:10:47,0
11:11:11,1
11:11:21,2
11:11:28,1
11:11:52,2
11:12:01,1
11:13:03,0
11:13:56,1
11:14:15,0
11:17:02,1
11:17:02,0
11:17:45,1
11:17:45,0
11:19:03,1
11:19:03,0
11:19:05,1
11:19:05,0
11:21:11,1
11:21:11,2
11:21:11,1
11:21:11,0
11:21:20,1
11:21:20,0
11:21:31,1
11:21:31,0
11:22:04,1
11:22:16,2
11:22:35,3
11:22:36,2
11:22:42,1
11:23:09,2
11:23:10,1
11:23:25,2
11:23:39,1
11:23:54,0
11:24:12,1
11:24:21,2
11:24:41,1
11:24:41,0
11:25:24,1
11:25:24,0
11:25:26,1
11:25:27,2
11:25:54,1
11:26:41,0
11:27:04,1
11:27:16,2
11:27:56,1
11:28:16,0
11:28:57,1
11:29:48,0
11:32:26,1
11:32:26,0
11:32:47,1
11:32:47,0
11:34:01,1
11:34:01,0
11:34:22,1
11:34:22,0
11:34:42,1
11:34:42,0
11:35:42,1
11:35:42,0
11:36:16,1
11:36:16,0
11:36:23,1
11:36:30,0
11:37:20,1
11:37:40,0
11:38:32,1
11:38:32,0
11:38:42,1
11:38:43,2
11:38:52,3
11:38:59,2
11:39:00,3
11:39:20,4
11:39:21,5
11:39:30,4
11:40:27,3
11:40:49,4
11:41:39,3
11:42:15,4
11:42:18,5
11:42:39,4
11:42:44,5
11:42:47,6
11:43:07,7
11:43:07,6
11:43:18,5
11:43:33,6
11:44:44,7
11:45:23,6
11:45:46,5
11:45:50,6
11:46:33,5
11:46:41,4
11:47:26,5
11:47:42,6
11:47:47,7
11:47:54,6
11:47:54,5
11:48:00,6
11:48:01,7
11:48:36,8
11:48:45,7
11:49:55,8
11:50:05,7
11:50:17,8
11:50:30,9
11:50:31,8
11:51:25,9
11:51:31,10
11:51:37,11
11:52:05,12
11:52:09,13
11:52:11,14
11:52:14,13
11:52:34,12
11:52:41,13
11:54:23,12
11:54:27,11
11:54:50,10
11:55:15,9
11:55:23,10
11:55:24,9
11:56:23,8
11:56:32,9
11:56:48,10
11:57:13,9
11:57:56,8
11:58:21,9
11:58:46,8
11:58:50,7
11:59:07,8
11:59:29,7
12:00:06,6
12:00:30,5
12:01:43,4
12:02:17,3
12:02:27,4
12:02:50,5
12:02:53,4
12:03:44,5
12:04:10,4
12:04:35,5
12:05:20,4
12:05:40,5
12:06:02,4
12:06:14,3
12:06:14,2
12:07:07,1
12:07:10,0
12:07:44,1
12:07:44,0
12:08:02,1
12:08:13,0
12:10:52,1
12:10:52,0
12:13:22,1
12:13:22,0
12:17:08,1
12:17:08,0
12:18:42,1
12:18:42,0
12:19:39,1
12:19:39,0
12:20:09,1
12:20:09,0
12:21:45,1
12:21:45,0
12:21:46,1
12:21:46,0
12:23:48,1
12:23:48,0
12:24:47,1
12:24:47,0
12:29:22,1
12:29:22,0
12:30:04,1
12:30:04,0
12:32:09,1
12:32:09,0
12:33:00,1
12:33:00,0
12:35:13,1
12:35:13,0
12:35:15,1
12:35:15,0
12:36:17,1
12:36:17,0
12:37:06,1
12:37:06,0
12:40:44,1
12:40:44,0
12:40:52,1
12:40:52,0
12:41:28,1
12:41:28,0
12:41:37,1
12:41:37,0
12:43:19,1
12:43:19,0
12:43:29,1
12:43:29,0
12:43:30,1
12:43:52,0
12:44:27,1
12:44:27,0
12:44:48,1
12:44:48,0
12:46:39,1
12:46:39,0
12:49:23,1
12:49:23,0
12:49:34,1
12:49:34,0
12:49:40,1
12:49:40,0
12:49:55,1
12:49:55,0
12:51:53,1
12:51:53,0
12:52:04,1
12:52:35,0
12:54:09,1
12:54:09,0
12:54:15,1
12:54:15,0
12:54:42,1
12:54:42,0
12:55:00,1
12:55:05,2
12:55:10,3
12:55:16,4
12:55:26,3
12:56:03,2
12:56:26,1
12:57:07,2
12:57:09,1
12:57:14,0
12:57:15,1
12:57:54,2
12:58:00,3
12:58:09,2
