group_id,service_time
1,00:02:22
3,00:02:34
4,00:01:25
5,00:05:29
12,00:02:12
14,00:02:55
16,00:01:50
18,00:02:06
20,00:06:51
26,00:03:33
31,00:01:35
32,00:01:32
33,00:02:38
36,00:00:53
38,00:01:17
50,00:04:47
58,00:06:37
61,00:04:04
64,00:06:33
71,00:04:19
83,00:01:20
90,00:05:56
97,00:01:05
99,00:02:24
102,00:03:39
103,00:06:35
105,00:00:53
109,00:02:51
113,00:02:10
117,00:02:55
119,00:03:12
120,00:06:27
137,00:02:43
141,00:01:03
145,00:02:17
146,00:03:09
153,00:01:59
156,00:01:18
161,00:02:00
163,00:01:43
166,00:04:26
170,00:01:45
174,00:02:39
175,00:02:44
188,00:01:43
198,00:04:08
199,00:02:46
201,00:02:52
205,00:02:39
208,00:02:43
210,00:01:42
219,00:01:34
221,00:01:22
227,00:02:03
228,00:05:56
241,00:01:50
251,00:01:29
252,00:02:50
254,00:03:32
255,00:01:50
258,00:02:13
260,00:03:09
268,00:02:13
269,00:04:27
271,00:02:15
274,00:01:01
280,00:02:22
283,00:01:11
284,00:01:04
288,00:02:42
293,00:06:58
295,00:01:36
298,00:01:59
299,00:00:58
300,00:00:49
302,00:04:40
303,00:02:07
307,00:02:32
310,00:02:17
311,00:02:27
314,00:02:55
316,00:03:41
322,00:02:30
329,00:01:41
332,00:03:12
334,00:02:48
338,00:02:01
339,00:04:13
349,00:01:50
351,00:02:03
356,00:00:49
358,00:01:53
360,00:02:20
361,00:00:56
366,00:05:15
367,00:05:24
380,00:02:22
383,00:02:23
386,00:01:33
390,00:01:59
392,00:04:29
393,00:02:35
397,00:02:41
401,00:01:35
405,00:04:38
411,00:03:13
416,00:04:44
419,00:01:56
423,00:02:23
427,00:04:37
432,00:04:23
439,00:04:12
440,00:02:33
445,00:03:16
446,00:00:47
449,00:01:02
453,00:01:27
456,00:01:57
461,00:02:31
462,00:02:50
464,00:01:29
468,00:00:53
472,00:03:34
473,00:01:04
476,00:02:01
479,00:02:58
481,00:01:10
483,00:00:43
484,00:01:59
485,00:04:05
487,00:04:02
488,00:02:41
489,00:02:32
490,00:01:48
