time_band,no_of_people,no_of_groups
10:30 - 10:40,2,1
10:40 - 10:50,4,4
10:50 - 11:00,7,7
11:00 - 11:10,19,13
11:10 - 11:20,29,24
11:20 - 11:30,32,22
11:30 - 11:40,40,26
11:40 - 11:50,34,20
11:50 - 12:00,27,19
12:00 - 12:10,12,8
12:10 - 12:20,10,5
12:20 - 12:30,14,8
12:30 - 12:40,18,9
12:40 - 12:50,25,13
12:50 - 13:00,29,17
13:00 - 13:10,41,22
13:10 - 13:20,40,27
13:20 - 13:30,52,30
13:30 - 13:40,43,27
13:40 - 13:50,41,26
13:50 - 14:00,32,14
14:00 - 14:10,23,18
14:10 - 14:20,13,7
14:20 - 14:30,9,4
14:30 - 14:40,7,3
14:40 - 14:50,6,4
14:50 - 15:00,11,8
15:00 - 15:10,12,8
15:10 - 15:20,17,9
15:20 - 15:30,21,12
15:30 - 15:40,22,14
15:40 - 15:50,26,17
15:50 - 16:00,25,13
16:00 - 16:10,28,15
16:10 - 16:20,22,15
16:20 - 16:30,19,13
16:30 - 16:40,18,12
16:40 - 16:50,17,10
16:50 - 17:00,15,9
17:00 - 17:10,20,13
17:10 - 17:20,19,12
17:20 - 17:30,24,13
17:30 - 17:40,22,11
17:40 - 17:50,21,14
17:50 - 18:00,15,6
18:00 - 18:10,9,7
18:10 - 18:20,10,5
18:20 - 18:30,6,4
18:30 - 18:40,4,1
18:40 - 18:50,2,2
18:50 - 19:00,1,1
