time_band,groups_served,groups_rejected
10:30 - 10:40,1,0
10:40 - 10:50,4,0
10:50 - 11:00,7,0
11:00 - 11:10,13,0
11:10 - 11:20,12,12
11:20 - 11:30,7,15
11:30 - 11:40,6,20
11:40 - 11:50,9,11
11:50 - 12:00,6,13
12:00 - 12:10,8,0
12:10 - 12:20,5,0
12:20 - 12:30,8,0
12:30 - 12:40,9,0
12:40 - 12:50,12,1
12:50 - 13:00,7,10
13:00 - 13:10,9,13
13:10 - 13:20,10,17
13:20 - 13:30,8,22
13:30 - 13:40,9,18
13:40 - 13:50,8,18
13:50 - 14:00,7,7
14:00 - 14:10,5,13
14:10 - 14:20,6,1
14:20 - 14:30,4,0
14:30 - 14:40,3,0
14:40 - 14:50,4,0
14:50 - 15:00,8,0
15:00 - 15:10,8,0
15:10 - 15:20,9,0
15:20 - 15:30,12,0
15:30 - 15:40,10,4
15:40 - 15:50,10,7
15:50 - 16:00,9,4
16:00 - 16:10,9,6
16:10 - 16:20,7,8
16:20 - 16:30,8,5
16:30 - 16:40,8,4
16:40 - 16:50,5,5
16:50 - 17:00,8,1
17:00 - 17:10,8,5
17:10 - 17:20,8,4
17:20 - 17:30,7,6
17:30 - 17:40,4,7
17:40 - 17:50,7,7
17:50 - 18:00,5,1
18:00 - 18:10,7,0
18:10 - 18:20,5,0
18:20 - 18:30,4,0
18:30 - 18:40,1,0
18:40 - 18:50,2,0
18:50 - 19:00,1,0
