group_id,service_time
6,00:03:16
10,00:02:02
11,00:00:59
13,00:01:50
14,00:05:13
15,00:02:13
18,00:01:04
19,00:01:36
20,00:04:07
26,00:03:22
30,00:03:59
31,00:02:50
33,00:01:49
34,00:01:48
39,00:02:27
41,00:01:49
49,00:05:33
53,00:13:07
54,00:00:53
60,00:01:01
62,00:01:54
66,00:01:23
67,00:05:02
71,00:00:38
73,00:02:05
74,00:02:14
79,00:03:02
81,00:01:14
82,00:03:58
84,00:01:40
86,00:03:21
88,00:02:56
93,00:06:08
97,00:03:58
100,00:01:55
101,00:02:09
106,00:03:08
114,00:04:47
115,00:05:01
121,00:02:31
126,00:02:00
128,00:01:56
130,00:01:55
137,00:02:01
138,00:01:12
140,00:01:04
141,00:03:09
143,00:04:42
146,00:05:04
149,00:05:36
159,00:02:40
163,00:01:41
167,00:01:35
170,00:02:29
176,00:02:42
177,00:04:03
179,00:02:17
184,00:02:04
187,00:03:18
195,00:01:55
196,00:03:34
200,00:02:36
202,00:02:44
203,00:01:26
206,00:02:49
208,00:02:54
212,00:01:49
216,00:00:49
217,00:05:03
219,00:02:41
222,00:01:37
225,00:04:03
226,00:01:34
229,00:01:19
230,00:04:14
233,00:02:58
238,00:05:57
239,00:02:41
242,00:02:37
244,00:03:00
246,00:01:59
252,00:02:07
253,00:01:25
259,00:03:01
263,00:03:42
264,00:01:34
267,00:03:31
271,00:08:28
275,00:03:38
278,00:01:27
280,00:02:35
283,00:00:56
284,00:01:29
288,00:03:34
290,00:02:17
295,00:02:00
297,00:03:52
306,00:03:29
308,00:02:13
309,00:02:14
310,00:00:55
312,00:00:50
314,00:01:59
317,00:01:52
318,00:01:53
321,00:01:36
322,00:01:22
325,00:01:54
326,00:01:36
327,00:01:35
333,00:02:59
334,00:04:23
