time,length
00:00:00,0
10:32:57,1
10:32:57,0
10:43:46,1
10:43:46,0
10:51:48,1
10:51:48,0
10:53:24,1
10:53:24,0
10:54:32,1
10:54:32,0
11:00:12,1
11:00:12,0
11:04:23,1
11:04:23,0
11:05:47,1
11:05:47,0
11:07:49,1
11:07:49,0
11:07:53,1
11:07:53,0
11:08:41,1
11:08:41,0
11:10:13,1
11:10:33,0
11:10:53,1
11:12:14,0
11:12:20,1
11:12:44,2
11:13:15,1
11:13:28,0
11:13:52,1
11:14:29,2
11:15:26,1
11:15:33,0
11:16:16,1
11:16:32,2
11:16:44,3
11:18:02,2
11:18:20,3
11:18:33,2
11:18:35,1
11:18:50,2
11:20:29,1
11:21:04,0
11:21:05,1
11:21:40,0
11:22:19,1
11:22:19,0
11:22:46,1
11:23:09,2
11:23:16,1
11:24:22,2
11:24:24,1
11:25:14,0
11:26:14,1
11:26:48,0
11:26:57,1
11:27:48,2
11:28:05,1
11:28:07,2
11:28:35,1
11:29:32,0
11:30:22,1
11:30:22,0
11:31:00,1
11:31:00,0
11:32:38,1
11:33:24,0
11:35:41,1
11:35:41,0
11:36:26,1
11:36:26,0
11:36:30,1
11:36:30,0
11:37:43,1
11:37:43,0
11:38:51,1
11:38:51,0
11:38:58,1
11:38:58,0
11:39:23,1
11:39:42,2
11:39:47,1
11:40:07,2
11:40:19,3
11:40:26,2
11:40:32,3
11:40:43,2
11:41:07,3
11:42:38,2
11:42:45,1
11:43:10,2
11:43:20,3
11:43:29,2
11:43:53,3
11:44:33,2
11:45:15,1
11:45:28,2
11:45:53,3
11:46:33,2
11:46:57,3
11:48:11,2
11:48:48,1
11:49:02,2
11:50:00,1
11:50:13,0
11:51:39,1
11:51:39,0
11:53:03,1
11:53:07,2
11:53:08,3
11:53:17,2
11:53:29,1
11:53:40,0
11:53:54,1
11:55:12,0
11:56:54,1
11:56:54,0
11:58:11,1
11:58:11,0
11:58:21,1
11:58:21,0
12:00:15,1
12:00:15,0
12:04:12,1
12:04:12,0
12:05:34,1
12:05:34,0
12:10:14,1
12:10:14,0
12:11:12,1
12:11:12,0
12:16:44,1
12:16:44,0
12:22:31,1
12:22:31,0
12:23:11,1
12:23:11,0
12:26:30,1
12:26:30,0
12:29:02,1
12:29:02,0
12:29:35,1
12:29:35,0
12:30:50,1
12:30:50,0
12:31:37,1
12:31:37,0
12:32:10,1
12:32:10,0
12:33:05,1
12:33:22,2
12:33:46,1
12:33:48,0
12:35:47,1
12:35:47,0
