time_band,no_of_people,no_of_groups
10:30 - 10:40,2,1
10:40 - 10:50,4,1
10:50 - 11:00,10,3
11:00 - 11:10,20,6
11:10 - 11:20,31,11
11:20 - 11:30,34,9
11:30 - 11:40,40,11
11:40 - 11:50,35,11
11:50 - 12:00,26,8
12:00 - 12:10,12,3
12:10 - 12:20,11,3
12:20 - 12:30,15,5
12:30 - 12:40,18,7
12:40 - 12:50,25,8
12:50 - 13:00,30,10
13:00 - 13:10,42,14
13:10 - 13:20,38,12
13:20 - 13:30,51,17
13:30 - 13:40,45,14
13:40 - 13:50,40,11
13:50 - 14:00,30,10
14:00 - 14:10,23,7
14:10 - 14:20,11,3
14:20 - 14:30,9,4
14:30 - 14:40,7,2
14:40 - 14:50,6,2
14:50 - 15:00,10,3
15:00 - 15:10,10,4
15:10 - 15:20,17,5
15:20 - 15:30,22,7
15:30 - 15:40,22,6
15:40 - 15:50,26,8
15:50 - 16:00,24,6
16:00 - 16:10,29,9
16:10 - 16:20,21,5
16:20 - 16:30,22,8
16:30 - 16:40,17,6
16:40 - 16:50,15,6
16:50 - 17:00,14,4
17:00 - 17:10,19,7
17:10 - 17:20,18,6
17:20 - 17:30,22,11
17:30 - 17:40,22,8
17:40 - 17:50,23,8
17:50 - 18:00,14,4
18:00 - 18:10,10,3
18:10 - 18:20,9,4
18:20 - 18:30,5,1
18:30 - 18:40,5,1
