time_band,no_of_people,no_of_groups
10:30 - 10:40,2,1
10:40 - 10:50,3,1
10:50 - 11:00,10,3
11:00 - 11:10,19,6
11:10 - 11:20,27,9
11:20 - 11:30,34,10
11:30 - 11:40,40,11
11:40 - 11:50,33,10
11:50 - 12:00,26,8
12:00 - 12:10,14,5
12:10 - 12:20,11,3
12:20 - 12:30,15,6
12:30 - 12:40,17,5
12:40 - 12:50,23,6
12:50 - 13:00,32,11
13:00 - 13:10,43,17
13:10 - 13:20,40,13
13:20 - 13:30,54,16
13:30 - 13:40,44,12
13:40 - 13:50,42,16
13:50 - 14:00,32,9
14:00 - 14:10,25,8
14:10 - 14:20,11,3
14:20 - 14:30,9,2
14:30 - 14:40,7,3
14:40 - 14:50,7,3
14:50 - 15:00,11,4
15:00 - 15:10,12,4
15:10 - 15:20,17,4
15:20 - 15:30,22,7
15:30 - 15:40,24,7
15:40 - 15:50,27,10
15:50 - 16:00,26,8
16:00 - 16:10,29,10
16:10 - 16:20,24,6
16:20 - 16:30,20,7
16:30 - 16:40,19,5
16:40 - 16:50,15,5
16:50 - 17:00,13,4
17:00 - 17:10,19,5
17:10 - 17:20,18,6
17:20 - 17:30,25,8
17:30 - 17:40,21,6
17:40 - 17:50,22,6
17:50 - 18:00,14,5
18:00 - 18:10,10,3
18:10 - 18:20,10,3
18:20 - 18:30,6,2
18:30 - 18:40,2,1
18:40 - 18:50,1,1
18:50 - 19:00,1,1
