time_band,no_of_people,no_of_groups
10:40 - 10:50,4,1
10:50 - 11:00,10,2
11:00 - 11:10,20,6
11:10 - 11:20,27,10
11:20 - 11:30,33,11
11:30 - 11:40,40,12
11:40 - 11:50,32,10
11:50 - 12:00,28,7
12:00 - 12:10,12,3
12:10 - 12:20,11,4
12:20 - 12:30,16,5
12:30 - 12:40,18,5
12:40 - 12:50,24,9
12:50 - 13:00,28,7
13:00 - 13:10,42,12
13:10 - 13:20,39,11
13:20 - 13:30,51,17
13:30 - 13:40,45,14
13:40 - 13:50,39,9
13:50 - 14:00,34,11
14:00 - 14:10,23,10
14:10 - 14:20,13,5
14:20 - 14:30,10,3
14:30 - 14:40,7,3
14:40 - 14:50,6,2
14:50 - 15:00,12,5
15:00 - 15:10,13,3
15:10 - 15:20,19,6
15:20 - 15:30,21,7
15:30 - 15:40,23,9
15:40 - 15:50,27,11
15:50 - 16:00,26,9
16:00 - 16:10,30,10
16:10 - 16:20,23,6
16:20 - 16:30,20,9
16:30 - 16:40,17,6
16:40 - 16:50,17,5
16:50 - 17:00,14,5
17:00 - 17:10,21,7
17:10 - 17:20,19,6
17:20 - 17:30,23,7
17:30 - 17:40,22,6
17:40 - 17:50,22,8
17:50 - 18:00,14,4
18:00 - 18:10,9,3
18:10 - 18:20,10,3
18:20 - 18:30,5,2
18:30 - 18:40,3,1
18:40 - 18:50,3,1
