time,length
16:09:03,9
16:10:07,10
16:10:47,9
16:11:02,10
16:11:48,9
16:13:23,8
16:13:58,7
16:14:51,6
16:16:12,5
16:17:31,4
16:18:34,5
16:18:54,6
16:18:58,7
16:19:08,6
16:20:02,5
16:20:39,6
16:21:16,7
16:21:42,8
16:22:07,9
16:22:10,8
16:23:38,7
16:23:53,6
16:25:40,5
16:25:56,6
16:25:59,7
16:26:00,8
16:26:12,9
16:26:49,8
16:27:52,7
16:28:43,8
16:29:30,7
16:30:04,6
16:31:04,7
16:31:12,8
16:31:43,7
16:32:13,8
16:34:22,7
16:36:52,6
16:38:09,7
16:39:02,8
16:39:23,9
16:39:47,8
16:41:08,9
16:41:55,8
16:43:05,7
16:43:38,6
16:45:00,7
16:45:05,6
16:45:33,7
16:46:36,8
16:47:02,7
16:47:34,8
16:50:00,7
16:50:32,6
16:50:39,7
16:52:14,6
16:52:39,5
16:53:15,6
16:54:27,7
16:54:27,6
16:55:24,7
16:55:54,6
16:58:18,5
16:59:00,6
16:59:41,5
16:59:55,4
17:00:47,5
17:01:24,4
17:02:46,5
17:03:44,4
17:03:58,3
17:05:03,4
17:06:01,5
17:06:15,4
17:06:17,3
17:07:31,4
17:07:58,5
17:09:29,6
17:10:25,5
17:12:45,4
17:13:15,3
17:13:48,4
17:14:47,3
17:16:19,2
17:16:23,3
17:17:20,2
17:17:38,3
17:18:00,4
17:18:31,5
17:18:51,4
17:19:06,5
17:20:03,4
17:23:48,5
17:23:56,4
17:24:42,3
17:25:15,4
17:25:56,5
17:27:18,6
17:27:25,7
17:27:38,8
17:28:01,9
17:28:23,8
17:28:36,7
17:30:23,8
17:30:40,7
17:31:31,6
17:33:53,5
17:34:24,4
17:34:39,5
17:35:40,6
17:36:30,5
17:36:44,6
17:37:05,5
17:37:22,6
17:37:41,7
17:39:48,6
17:39:51,5
17:41:32,4
17:42:05,5
17:43:18,4
17:43:45,5
17:44:00,6
17:44:36,5
17:46:00,6
17:46:16,7
17:47:01,6
17:47:20,5
17:48:06,6
17:48:18,7
17:48:30,6
17:48:41,7
17:49:34,6
17:50:15,5
17:52:46,4
17:52:48,3
17:53:48,4
17:54:04,5
17:55:18,6
17:55:43,5
17:58:07,4
17:58:35,3
17:59:18,4
18:00:56,3
18:01:04,4
18:02:40,3
18:03:00,4
18:03:21,3
18:04:12,2
18:06:57,1
18:08:17,2
18:08:45,1
18:09:09,0
18:10:24,1
18:10:42,0
18:18:32,1
18:18:32,0
18:19:36,1
18:19:36,0
18:25:22,1
18:25:22,0
18:26:01,1
18:26:01,0
18:38:38,1
18:38:38,0
18:42:11,1
18:42:11,0
