time_band,no_of_people,no_of_groups
10:20 - 10:30,1,1
10:40 - 10:50,5,1
10:50 - 11:00,10,3
11:00 - 11:10,19,6
11:10 - 11:20,30,10
11:20 - 11:30,33,12
11:30 - 11:40,40,15
11:40 - 11:50,34,13
11:50 - 12:00,26,8
12:00 - 12:10,13,4
12:10 - 12:20,11,3
12:20 - 12:30,16,6
12:30 - 12:40,18,9
12:40 - 12:50,25,8
12:50 - 13:00,29,8
13:00 - 13:10,43,15
13:10 - 13:20,39,14
13:20 - 13:30,51,15
13:30 - 13:40,43,16
13:40 - 13:50,40,14
13:50 - 14:00,33,12
14:00 - 14:10,22,7
14:10 - 14:20,12,5
14:20 - 14:30,10,4
14:30 - 14:40,9,3
14:40 - 14:50,7,2
14:50 - 15:00,12,3
15:00 - 15:10,11,4
15:10 - 15:20,17,6
15:20 - 15:30,22,7
15:30 - 15:40,23,7
15:40 - 15:50,25,9
15:50 - 16:00,26,9
16:00 - 16:10,28,9
16:10 - 16:20,23,7
16:20 - 16:30,20,7
16:30 - 16:40,18,7
16:40 - 16:50,16,5
16:50 - 17:00,13,5
17:00 - 17:10,20,7
17:10 - 17:20,19,6
17:20 - 17:30,22,6
17:30 - 17:40,21,8
17:40 - 17:50,21,8
17:50 - 18:00,13,6
18:00 - 18:10,8,2
18:10 - 18:20,11,4
18:20 - 18:30,6,2
18:30 - 18:40,3,1
18:40 - 18:50,2,1
