arrival_time,wait_time
16:12:54,00:09:55
16:14:46,00:10:16
16:15:52,00:10:22
16:18:56,00:10:03
16:21:01,00:07:45
16:22:05,00:08:04
16:23:36,00:06:35
16:26:50,00:04:47
16:27:25,00:08:15
16:27:41,00:06:44
16:31:53,00:03:37
16:33:04,00:03:40
16:33:20,00:05:55
16:38:07,00:03:29
16:39:01,00:02:16
16:39:38,00:06:24
16:44:11,00:00:53
16:45:12,00:07:10
16:47:27,00:01:40
16:48:30,00:06:13
16:48:46,00:05:28
16:53:40,00:04:37
16:56:19,00:01:00
16:57:46,00:04:13
16:59:08,00:02:17
16:59:21,00:04:45
17:00:39,00:06:33
17:02:58,00:02:45
17:03:07,00:04:22
17:04:03,00:05:16
17:05:50,00:04:26
17:06:13,00:14:31
17:07:27,00:05:34
17:07:27,00:06:46
17:08:51,00:07:07
17:13:44,00:03:44
17:13:56,00:04:52
17:14:41,00:05:51
17:17:17,00:04:23
17:17:22,00:05:34
17:17:54,00:06:01
17:20:35,00:06:05
17:24:37,00:01:30
17:25:00,00:02:57
17:25:07,00:05:57
17:27:24,00:07:12
17:27:36,00:06:03
17:27:44,00:08:09
17:28:15,00:10:06
17:30:08,00:09:17
17:36:10,00:06:15
17:36:55,00:04:59
17:36:57,00:07:47
17:37:18,00:07:58
17:38:27,00:08:04
17:40:00,00:09:24
17:40:35,00:10:28
17:41:04,00:11:00
17:41:47,00:10:33
17:46:07,00:08:27
17:46:08,00:08:12
17:47:23,00:08:59
17:47:28,00:10:56
17:48:35,00:12:17
17:50:07,00:16:47
17:50:37,00:11:56
17:54:15,00:10:04
17:55:34,00:11:38
17:58:07,00:11:15
17:59:06,00:13:25
18:01:40,00:10:57
18:03:18,00:11:09
18:06:52,00:09:57
18:11:58,00:08:36
18:17:39,00:03:01
18:19:33,00:02:47
18:25:19,00:02:19
18:32:16,00:01:02
18:35:50,00:01:29
18:41:02,00:08:18
18:57:18,00:01:53
