time_band,no_of_people,no_of_groups
10:30 - 10:40,2,1
10:40 - 10:50,5,1
10:50 - 11:00,8,3
11:00 - 11:10,19,9
11:10 - 11:20,29,12
11:20 - 11:30,34,13
11:30 - 11:40,40,20
11:40 - 11:50,34,15
11:50 - 12:00,26,9
12:00 - 12:10,14,6
12:10 - 12:20,11,5
12:20 - 12:30,13,5
12:30 - 12:40,18,8
12:40 - 12:50,24,12
12:50 - 13:00,30,13
13:00 - 13:10,42,21
13:10 - 13:20,39,18
13:20 - 13:30,51,23
13:30 - 13:40,44,18
13:40 - 13:50,41,20
13:50 - 14:00,31,15
14:00 - 14:10,22,11
14:10 - 14:20,12,5
14:20 - 14:30,10,5
14:30 - 14:40,8,3
14:40 - 14:50,5,3
14:50 - 15:00,11,6
15:00 - 15:10,11,4
15:10 - 15:20,17,9
15:20 - 15:30,21,11
15:30 - 15:40,22,11
15:40 - 15:50,27,13
15:50 - 16:00,24,12
16:00 - 16:10,27,12
16:10 - 16:20,20,12
16:20 - 16:30,19,9
16:30 - 16:40,19,8
16:40 - 16:50,14,8
16:50 - 17:00,16,7
17:00 - 17:10,20,7
17:10 - 17:20,19,9
17:20 - 17:30,23,10
17:30 - 17:40,21,8
17:40 - 17:50,21,10
17:50 - 18:00,14,7
18:00 - 18:10,10,4
18:10 - 18:20,9,5
18:20 - 18:30,4,2
18:30 - 18:40,4,2
18:40 - 18:50,3,1
