time_band,groups_served,groups_rejected
10:30 - 10:40,1,0
10:40 - 10:50,1,0
10:50 - 11:00,3,0
11:00 - 11:10,9,0
11:10 - 11:20,6,6
11:20 - 11:30,4,9
11:30 - 11:40,3,17
11:40 - 11:50,4,11
11:50 - 12:00,5,4
12:00 - 12:10,5,1
12:10 - 12:20,3,2
12:20 - 12:30,5,0
12:30 - 12:40,8,0
12:40 - 12:50,4,8
12:50 - 13:00,6,7
13:00 - 13:10,4,17
13:10 - 13:20,4,14
13:20 - 13:30,3,20
13:30 - 13:40,5,13
13:40 - 13:50,3,17
13:50 - 14:00,2,13
14:00 - 14:10,3,8
14:10 - 14:20,3,2
14:20 - 14:30,3,2
14:30 - 14:40,3,0
14:50 - 15:00,3,3
14:40 - 14:50,3,0
15:10 - 15:20,5,4
15:00 - 15:10,4,0
15:20 - 15:30,6,5
15:30 - 15:40,5,6
15:40 - 15:50,4,9
15:50 - 16:00,4,8
16:00 - 16:10,4,8
16:10 - 16:20,4,8
16:20 - 16:30,4,5
16:30 - 16:40,4,4
16:40 - 16:50,3,5
16:50 - 17:00,4,3
17:00 - 17:10,3,4
17:10 - 17:20,5,4
17:20 - 17:30,3,7
17:30 - 17:40,6,2
17:40 - 17:50,3,7
17:50 - 18:00,3,4
18:00 - 18:10,4,0
18:10 - 18:20,4,1
18:20 - 18:30,1,1
18:30 - 18:40,2,0
18:40 - 18:50,1,0
