arrival_time,wait_time
10:40:01,00:02:17
10:44:13,00:01:49
10:52:51,00:01:58
10:54:57,00:00:46
11:02:06,00:02:26
11:02:45,00:01:58
11:04:05,00:00:58
11:04:10,00:02:59
11:05:13,00:02:13
11:08:23,00:02:50
11:10:40,00:02:17
11:11:10,00:02:06
11:12:16,00:01:46
11:14:36,00:02:08
11:16:05,00:02:12
11:16:12,00:01:15
11:16:43,00:02:48
11:17:11,00:01:41
11:19:25,00:01:12
11:21:28,00:01:34
11:21:56,00:01:12
11:22:44,00:03:37
11:23:03,00:01:21
11:23:04,00:02:09
11:25:53,00:02:47
11:26:33,00:02:12
11:26:34,00:01:54
11:26:56,00:05:47
11:27:14,00:03:11
11:27:21,00:03:59
11:27:52,00:04:57
11:29:23,00:06:42
11:32:26,00:05:01
11:32:29,00:01:36
11:33:15,00:01:51
11:34:16,00:01:58
11:34:56,00:11:41
11:35:15,00:03:07
11:35:53,00:08:32
11:36:55,00:02:22
11:37:55,00:02:24
11:38:15,00:07:15
11:39:06,00:07:47
11:39:23,00:09:22
11:39:49,00:09:08
11:40:05,00:08:17
11:40:49,00:08:48
11:40:53,00:14:01
11:41:38,00:08:43
11:45:06,00:06:11
11:45:29,00:06:18
11:45:45,00:11:03
11:45:56,00:07:17
11:46:09,00:10:53
11:48:23,00:08:25
11:48:27,00:11:08
11:49:06,00:17:25
11:50:30,00:10:00
11:50:55,00:11:17
11:51:44,00:12:55
11:51:53,00:12:03
11:52:39,00:14:47
11:56:04,00:10:19
11:57:53,00:10:30
12:01:17,00:07:11
12:02:04,00:08:34
12:06:33,00:05:00
12:08:33,00:02:09
12:11:52,00:00:53
12:12:34,00:01:43
12:18:30,00:02:42
12:23:07,00:01:13
12:23:27,00:00:39
12:25:34,00:05:14
12:28:17,00:02:28
12:31:50,00:03:44
12:35:03,00:02:14
12:38:25,00:03:29
12:39:32,00:02:27
12:39:53,00:02:26
12:41:17,00:03:05
12:42:23,00:03:41
12:43:30,00:03:50
12:44:07,00:02:45
12:44:58,00:03:04
12:45:47,00:03:25
12:45:59,00:05:49
12:46:03,00:03:05
12:47:24,00:04:29
12:47:28,00:03:10
12:52:08,00:05:15
12:52:14,00:01:24
12:53:21,00:01:39
12:53:48,00:03:34
12:53:54,00:03:36
12:54:17,00:07:06
12:55:53,00:05:12
12:56:17,00:03:58
12:57:04,00:05:19
12:57:07,00:07:09
12:57:39,00:04:43
12:57:51,00:10:36
13:00:29,00:03:14
13:00:33,00:08:24
13:01:48,00:04:57
13:02:54,00:06:02
13:04:20,00:07:11
13:04:37,00:05:32
13:04:53,00:07:20
13:05:47,00:05:51
13:06:04,00:07:28
13:06:10,00:08:12
13:06:17,00:07:02
13:08:11,00:07:37
13:08:29,00:05:51
13:09:16,00:08:32
13:09:54,00:06:39
13:10:07,00:10:19
13:10:49,00:06:59
13:10:50,00:09:57
13:11:18,00:08:10
13:12:36,00:11:36
13:12:58,00:13:08
13:13:28,00:09:40
13:15:11,00:10:00
13:16:15,00:10:51
13:17:26,00:10:47
13:17:56,00:09:57
13:18:25,00:10:56
13:18:32,00:12:56
13:21:48,00:07:42
13:21:51,00:09:04
13:22:11,00:09:54
13:22:40,00:12:24
13:23:02,00:15:33
13:23:13,00:10:49
13:23:32,00:13:20
13:26:01,00:10:07
13:26:39,00:11:16
13:26:47,00:13:16
13:26:59,00:14:30
13:27:15,00:12:08
13:27:23,00:14:59
13:29:11,00:12:11
13:30:23,00:16:00
13:30:25,00:13:49
13:31:45,00:17:36
13:32:34,00:16:08
13:32:50,00:15:28
13:33:19,00:16:32
13:33:25,00:18:42
13:33:58,N/A
13:35:05,00:16:16
13:35:09,00:16:13
13:35:19,N/A
13:35:27,N/A
13:35:45,N/A
13:35:55,N/A
13:39:20,00:13:31
13:41:17,00:12:42
13:41:33,00:13:19
13:41:48,00:12:46
13:42:41,00:14:09
13:42:57,00:13:09
13:42:58,00:14:50
13:43:38,00:15:33
13:43:38,00:17:00
13:43:40,N/A
13:44:19,00:17:43
13:45:39,N/A
13:45:48,N/A
13:47:40,00:16:44
13:50:06,00:12:32
13:52:05,00:13:32
13:52:41,00:11:30
13:53:10,00:12:59
13:53:54,00:11:51
13:55:15,00:11:31
13:55:52,00:16:00
13:57:21,00:10:39
13:57:54,00:11:42
13:58:18,00:12:18
14:00:22,00:11:26
14:02:16,00:10:14
14:05:45,00:07:08
14:06:35,00:07:32
14:07:11,00:08:45
14:07:11,00:09:45
14:07:40,00:08:13
14:08:35,00:08:09
14:08:43,00:10:33
14:09:39,00:09:26
14:09:59,00:09:37
14:10:47,00:10:17
14:11:11,00:09:26
14:17:07,00:04:54
14:19:43,00:02:30
14:20:41,00:01:51
14:22:25,00:02:03
14:28:31,00:03:15
14:32:13,00:01:47
14:37:54,00:03:53
14:41:38,00:03:45
14:44:44,00:01:44
14:47:36,00:01:17
14:50:19,00:03:56
14:53:56,00:01:35
14:56:04,00:03:23
14:58:10,00:01:08
15:01:43,00:01:40
15:05:46,00:01:24
15:08:55,00:03:36
15:10:31,00:01:10
15:11:59,00:02:53
15:14:14,00:03:11
15:19:35,00:02:25
15:19:56,00:01:53
15:20:51,00:02:15
15:22:08,00:02:34
15:22:43,00:03:51
15:25:13,00:01:28
15:28:51,00:04:58
15:29:32,00:01:27
15:30:58,00:03:18
15:32:45,00:02:10
15:33:18,00:03:06
15:34:03,00:02:14
15:34:22,00:02:16
15:36:59,00:02:16
15:37:15,00:01:44
15:40:11,00:01:42
15:40:58,00:01:48
15:41:36,00:03:55
15:44:02,00:02:55
15:44:19,00:02:24
15:46:32,00:02:21
15:47:39,00:04:24
15:47:54,00:01:37
15:48:01,00:04:50
15:48:30,00:01:44
15:48:40,00:03:16
15:49:12,00:05:17
15:50:11,00:03:38
15:50:43,00:04:44
15:50:53,00:06:48
15:51:52,00:06:35
15:55:11,00:01:53
15:56:45,00:04:48
15:56:48,00:02:31
15:59:15,00:02:58
16:02:09,00:01:01
16:02:24,00:01:24
16:02:32,00:01:49
16:02:39,00:06:01
16:02:50,00:04:29
16:03:20,00:02:59
16:04:17,00:04:19
16:04:36,00:04:44
16:05:46,00:07:06
16:07:46,00:04:41
16:13:54,00:01:06
16:15:27,00:03:48
16:16:16,00:01:14
16:17:59,00:03:28
16:18:15,00:07:30
16:18:43,00:02:35
16:18:53,00:04:39
16:21:02,00:03:18
16:21:56,00:02:32
16:24:01,00:02:21
16:26:11,00:01:40
16:26:38,00:02:00
16:27:28,00:05:36
16:31:22,00:02:25
16:32:16,00:02:21
16:32:53,00:03:06
16:35:03,00:03:39
16:35:44,00:03:49
16:35:55,00:00:58
16:42:51,00:03:24
16:43:08,00:02:25
16:43:41,00:04:06
16:43:52,00:03:24
16:46:29,00:04:12
16:49:27,00:01:42
16:51:30,00:02:23
16:52:10,00:01:47
16:55:33,00:03:13
16:55:48,00:01:34
16:58:03,00:01:22
16:58:58,00:01:23
