time_band,no_of_people,no_of_groups
10:40 - 10:50,4,1
10:50 - 11:00,8,2
11:00 - 11:10,20,5
11:10 - 11:20,30,11
11:20 - 11:30,33,10
11:30 - 11:40,41,15
11:40 - 11:50,34,13
11:50 - 12:00,26,9
12:00 - 12:10,13,5
12:10 - 12:20,10,4
12:20 - 12:30,13,5
12:30 - 12:40,16,7
12:40 - 12:50,23,8
12:50 - 13:00,29,10
13:00 - 13:10,42,13
13:10 - 13:20,40,16
13:20 - 13:30,54,17
13:30 - 13:40,44,15
13:40 - 13:50,42,13
13:50 - 14:00,31,11
14:00 - 14:10,23,7
14:10 - 14:20,12,4
14:20 - 14:30,8,3
14:30 - 14:40,7,3
14:40 - 14:50,5,2
14:50 - 15:00,11,3
15:00 - 15:10,13,3
15:10 - 15:20,17,6
15:20 - 15:30,19,7
15:30 - 15:40,24,8
15:40 - 15:50,26,10
15:50 - 16:00,25,10
16:00 - 16:10,26,8
16:10 - 16:20,23,6
16:20 - 16:30,19,7
16:30 - 16:40,17,5
16:40 - 16:50,15,4
16:50 - 17:00,14,5
17:00 - 17:10,20,5
17:10 - 17:20,20,7
17:20 - 17:30,24,8
17:30 - 17:40,21,7
17:40 - 17:50,22,8
17:50 - 18:00,14,4
18:00 - 18:10,10,2
18:10 - 18:20,9,4
18:20 - 18:30,4,1
18:30 - 18:40,5,1
18:40 - 18:50,1,1
