group_id,size,status,time_band,arrival_time,in_queue_time,service_start_time,service_time,wait_time,served_by
1,2,Served,10:30 - 10:40,10:34:23,00:00:00,10:34:23,00:01:10,00:01:10,h1
2,3,Served,10:40 - 10:50,10:44:37,00:00:00,10:44:37,00:01:00,00:01:00,h1
3,5,Served,10:50 - 11:00,10:53:49,00:00:00,10:53:49,00:02:36,00:02:36,h1
4,5,Served,10:50 - 11:00,10:58:49,00:00:00,10:58:49,00:01:03,00:01:03,h1
5,4,Served,11:00 - 11:10,11:01:51,00:00:00,11:01:51,00:03:19,00:03:19,h1
6,2,Served,11:00 - 11:10,11:05:11,00:00:00,11:05:11,00:01:45,00:01:45,h1
7,1,Served,11:00 - 11:10,11:06:16,00:00:40,11:06:56,00:02:04,00:02:44,h1
8,3,Served,11:00 - 11:10,11:09:42,00:01:19,11:11:01,00:02:22,00:03:41,h2
9,5,Served,11:00 - 11:10,11:04:30,00:00:00,11:04:30,00:03:41,00:03:41,h2
10,3,Served,11:00 - 11:10,11:07:09,00:01:02,11:08:11,00:02:50,00:03:52,h2
11,3,Served,11:00 - 11:10,11:08:24,00:00:36,11:09:00,00:02:05,00:02:41,h1
12,3,Served,11:10 - 11:20,11:10:23,00:00:42,11:11:05,00:02:14,00:02:56,h1
13,4,Served,11:10 - 11:20,11:11:54,00:05:24,11:17:18,00:03:47,00:09:11,h1
14,2,Served,11:10 - 11:20,11:18:12,00:04:53,11:23:05,00:01:58,00:06:51,h1
15,3,Served,11:10 - 11:20,11:11:26,00:04:33,11:15:59,00:01:32,00:06:05,h2
16,5,Served,11:10 - 11:20,11:15:00,00:07:05,11:22:05,00:02:52,00:09:57,h2
17,2,Served,11:10 - 11:20,11:13:58,00:03:33,11:17:31,00:04:34,00:08:07,h2
18,3,Served,11:10 - 11:20,11:14:13,00:06:52,11:21:05,00:02:00,00:08:52,h1
19,5,Served,11:10 - 11:20,11:10:58,00:02:25,11:13:23,00:02:36,00:05:01,h2
20,1,Served,11:10 - 11:20,11:19:35,00:05:22,11:24:57,00:01:29,00:06:51,h2
21,1,Served,11:10 - 11:20,11:10:48,00:02:31,11:13:19,00:03:59,00:06:30,h1
22,1,Served,11:20 - 11:30,11:29:27,00:07:00,11:36:27,00:01:18,00:08:18,h2
23,3,Served,11:20 - 11:30,11:28:01,00:04:53,11:32:54,00:01:33,00:06:26,h1
24,2,Served,11:20 - 11:30,11:25:16,00:04:58,11:30:14,00:02:40,00:07:38,h1
25,4,Served,11:20 - 11:30,11:29:24,00:05:03,11:34:27,00:02:24,00:07:27,h1
26,2,Served,11:20 - 11:30,11:29:55,00:06:56,11:36:51,00:02:54,00:09:50,h1
27,4,Served,11:20 - 11:30,11:26:53,00:04:49,11:31:42,00:02:21,00:07:10,h2
28,4,Served,11:20 - 11:30,11:20:55,00:05:31,11:26:26,00:03:14,00:08:45,h2
29,3,Served,11:20 - 11:30,11:20:18,00:04:45,11:25:03,00:02:42,00:07:27,h1
30,5,Served,11:20 - 11:30,11:28:47,00:05:16,11:34:03,00:02:24,00:07:40,h2
31,2,Served,11:20 - 11:30,11:23:06,00:06:34,11:29:40,00:02:02,00:08:36,h2
32,3,Served,11:20 - 11:30,11:22:27,00:05:18,11:27:45,00:02:29,00:07:47,h1
33,3,Served,11:30 - 11:40,11:30:47,00:06:58,11:37:45,00:01:26,00:08:24,h2
34,3,Rejected,11:30 - 11:40,11:33:02,N/A,N/A,N/A,N/A,N/A
35,3,Rejected,11:30 - 11:40,11:37:44,N/A,N/A,N/A,N/A,N/A
36,3,Served,11:30 - 11:40,11:31:01,00:08:44,11:39:45,00:03:48,00:12:32,h1
