time_band,no_of_people,no_of_groups
10:40 - 10:50,4,1
10:50 - 11:00,9,2
11:00 - 11:10,20,7
11:10 - 11:20,27,10
11:20 - 11:30,33,10
11:30 - 11:40,40,12
11:40 - 11:50,33,11
11:50 - 12:00,28,11
12:00 - 12:10,12,4
12:10 - 12:20,12,4
12:20 - 12:30,14,5
12:30 - 12:40,18,5
12:40 - 12:50,25,9
12:50 - 13:00,31,11
13:00 - 13:10,42,12
13:10 - 13:20,39,13
13:20 - 13:30,53,18
13:30 - 13:40,46,15
13:40 - 13:50,39,12
13:50 - 14:00,33,12
14:00 - 14:10,23,9
14:10 - 14:20,12,4
14:20 - 14:30,9,4
14:30 - 14:40,9,3
14:40 - 14:50,5,3
14:50 - 15:00,12,3
15:00 - 15:10,12,5
15:10 - 15:20,17,6
15:20 - 15:30,21,9
15:30 - 15:40,22,9
15:40 - 15:50,24,7
15:50 - 16:00,24,8
16:00 - 16:10,26,7
16:10 - 16:20,23,6
16:20 - 16:30,20,9
16:30 - 16:40,17,6
16:40 - 16:50,17,5
16:50 - 17:00,14,4
17:00 - 17:10,18,8
17:10 - 17:20,20,7
17:20 - 17:30,24,8
17:30 - 17:40,23,7
17:40 - 17:50,22,7
17:50 - 18:00,15,5
18:00 - 18:10,11,3
18:10 - 18:20,10,3
18:20 - 18:30,5,2
18:30 - 18:40,3,1
18:40 - 18:50,3,1
19:00 - 19:10,1,1
