time_band,no_of_people,no_of_groups
10:30 - 10:40,2,1
10:40 - 10:50,2,1
10:50 - 11:00,11,3
11:00 - 11:10,19,5
11:10 - 11:20,29,8
11:20 - 11:30,33,10
11:30 - 11:40,41,14
11:40 - 11:50,33,11
11:50 - 12:00,28,10
12:00 - 12:10,12,4
12:10 - 12:20,13,4
12:20 - 12:30,16,5
12:30 - 12:40,17,6
12:40 - 12:50,24,7
12:50 - 13:00,29,8
13:00 - 13:10,41,13
13:10 - 13:20,39,12
13:20 - 13:30,51,17
13:30 - 13:40,43,15
13:40 - 13:50,42,15
13:50 - 14:00,32,11
14:00 - 14:10,23,8
14:10 - 14:20,13,3
14:20 - 14:30,10,3
14:30 - 14:40,6,2
14:40 - 14:50,8,2
14:50 - 15:00,10,3
15:00 - 15:10,11,4
15:10 - 15:20,18,6
15:20 - 15:30,22,7
15:30 - 15:40,23,8
15:40 - 15:50,24,7
15:50 - 16:00,25,9
16:00 - 16:10,29,11
16:10 - 16:20,22,7
16:20 - 16:30,20,7
16:30 - 16:40,18,6
16:40 - 16:50,16,6
16:50 - 17:00,16,5
17:00 - 17:10,20,8
17:10 - 17:20,19,6
17:20 - 17:30,23,8
17:30 - 17:40,22,6
17:40 - 17:50,22,7
17:50 - 18:00,15,4
18:00 - 18:10,8,2
18:10 - 18:20,9,4
18:20 - 18:30,5,2
18:30 - 18:40,4,1
18:40 - 18:50,3,1
