arrival_time,in_queue_time
16:32:03,00:00:48
16:35:00,00:00:00
16:36:47,00:00:00
16:38:47,00:00:00
16:38:55,00:00:00
16:42:44,00:00:00
16:43:52,00:00:00
16:44:41,00:00:00
16:45:07,00:00:33
16:46:49,00:00:00
16:48:58,00:00:00
16:50:36,00:00:00
16:51:49,00:00:00
16:52:20,00:00:00
16:52:51,00:01:01
16:56:39,00:00:00
17:00:26,00:00:00
17:01:36,00:00:00
17:02:02,00:00:00
17:02:21,00:03:20
17:02:38,00:05:08
17:02:40,00:05:15
17:04:39,00:03:36
17:05:44,00:03:11
17:13:06,00:00:00
17:14:44,00:00:00
17:17:35,00:00:00
17:17:54,00:00:00
17:18:15,00:00:00
17:19:37,00:00:00
17:22:43,00:00:00
17:22:46,00:00:00
17:23:17,00:00:19
17:23:49,00:00:11
17:23:56,00:00:23
17:25:24,00:00:00
17:27:49,00:00:00
17:29:52,00:00:06
17:31:38,00:00:00
17:33:45,00:00:00
17:33:59,00:00:00
17:37:22,00:00:00
17:37:32,00:00:00
17:39:58,00:00:00
17:40:34,00:00:00
17:41:52,00:00:00
17:42:16,00:00:00
17:43:34,00:00:00
17:47:08,00:00:00
17:49:33,00:00:00
17:49:44,00:00:00
17:53:20,00:00:00
17:53:42,00:00:00
17:56:32,00:00:00
17:57:18,00:00:09
18:01:45,00:00:00
18:08:05,00:00:00
18:10:57,00:00:00
18:14:37,00:00:00
18:16:10,00:00:00
18:19:48,00:00:00
18:20:59,00:00:00
18:28:30,00:00:00
18:36:59,00:00:00
18:41:28,00:00:00
