time_band,no_of_people,no_of_groups
10:30 - 10:40,2,1
10:40 - 10:50,3,2
10:50 - 11:00,9,4
11:00 - 11:10,20,8
11:10 - 11:20,29,10
11:20 - 11:30,34,14
11:30 - 11:40,39,16
11:40 - 11:50,34,13
11:50 - 12:00,27,15
12:00 - 12:10,13,7
12:10 - 12:20,11,6
12:20 - 12:30,15,4
12:30 - 12:40,18,8
12:40 - 12:50,26,11
12:50 - 13:00,29,13
13:00 - 13:10,42,16
13:10 - 13:20,40,22
13:20 - 13:30,52,20
13:30 - 13:40,43,21
13:40 - 13:50,40,17
13:50 - 14:00,32,12
14:00 - 14:10,23,12
14:10 - 14:20,13,6
14:20 - 14:30,11,5
14:30 - 14:40,8,4
14:40 - 14:50,6,3
14:50 - 15:00,11,4
15:00 - 15:10,12,4
15:10 - 15:20,19,8
15:20 - 15:30,21,12
15:30 - 15:40,23,12
15:40 - 15:50,25,15
15:50 - 16:00,25,10
16:00 - 16:10,27,12
16:10 - 16:20,20,9
16:20 - 16:30,20,9
16:30 - 16:40,17,7
16:40 - 16:50,15,7
16:50 - 17:00,16,7
17:00 - 17:10,20,9
17:10 - 17:20,18,7
17:20 - 17:30,24,11
17:30 - 17:40,24,9
17:40 - 17:50,22,10
17:50 - 18:00,14,6
18:00 - 18:10,10,5
18:10 - 18:20,10,4
18:20 - 18:30,3,2
18:30 - 18:40,4,2
18:40 - 18:50,2,1
18:50 - 19:00,1,1
