time,length
00:00:00,0
10:38:31,1
10:38:31,0
10:43:14,1
10:43:14,0
10:43:39,1
10:43:39,0
10:51:21,1
10:51:21,0
10:52:06,1
10:52:06,0
10:57:30,1
10:57:30,0
10:59:16,1
10:59:16,0
11:00:44,1
11:00:44,0
11:03:41,1
11:03:41,0
11:04:19,1
11:04:19,0
11:05:12,1
11:05:12,0
11:05:19,1
11:05:19,0
11:06:09,1
11:06:50,0
11:10:11,1
11:10:11,0
11:11:02,1
11:11:02,0
11:11:57,1
11:11:57,0
11:15:29,1
11:15:29,0
11:17:21,1
11:17:21,0
11:17:50,1
11:17:50,0
11:18:34,1
11:18:45,2
11:18:56,1
11:18:57,2
11:19:32,3
11:20:07,4
11:21:10,3
11:21:11,2
11:22:02,3
11:23:01,4
11:23:25,5
11:23:27,4
11:23:28,3
11:24:03,4
11:25:47,3
11:25:54,2
11:26:29,3
11:27:10,2
11:27:38,3
11:27:46,4
11:27:58,5
11:28:45,4
11:28:53,3
11:28:56,4
11:29:27,3
11:29:28,4
11:29:49,5
11:29:51,4
11:30:21,3
11:30:22,4
11:30:47,3
11:31:15,2
11:31:29,1
11:31:30,2
11:31:46,3
11:32:00,2
11:32:14,1
11:33:18,2
11:33:34,3
11:33:34,4
11:33:37,3
11:33:53,2
11:34:38,1
11:35:27,2
11:35:38,1
11:35:46,2
11:35:50,1
11:36:06,2
11:36:35,1
11:37:04,0
11:38:17,1
11:38:17,0
11:38:18,1
11:38:18,0
11:39:13,1
11:39:13,0
11:39:44,1
11:39:44,0
11:41:08,1
11:41:08,2
11:41:08,1
11:41:14,2
11:41:50,3
11:42:01,2
11:42:04,1
11:42:17,0
11:43:44,1
11:43:51,2
11:44:15,1
11:44:41,2
11:44:56,3
11:45:06,4
11:45:32,3
11:45:40,4
11:46:17,5
11:46:37,4
11:46:45,5
11:46:48,6
11:46:51,5
11:48:20,4
11:49:24,3
11:49:46,4
11:50:16,5
11:50:17,4
11:50:34,3
11:50:46,2
11:50:56,3
11:51:34,4
11:52:20,5
11:52:24,4
11:52:30,3
11:53:26,2
11:53:48,1
11:54:24,0
11:55:23,1
11:55:25,0
11:55:41,1
11:56:02,0
11:56:15,1
11:56:18,0
11:56:38,1
11:57:45,0
11:58:56,1
11:58:56,0
11:59:41,1
11:59:41,0
11:59:54,1
11:59:55,0
12:03:10,1
12:03:10,0
12:05:54,1
12:05:54,0
12:09:10,1
12:09:10,0
12:10:06,1
12:10:06,0
12:10:26,1
12:10:26,0
12:15:12,1
12:15:12,0
12:15:55,1
12:15:55,0
12:18:17,1
12:18:17,0
12:21:44,1
12:21:44,0
12:22:37,1
12:22:37,0
12:26:32,1
12:26:32,0
12:27:24,1
12:27:24,0
12:28:54,1
12:28:54,0
12:29:25,1
12:29:25,0
12:33:20,1
12:33:20,0
12:33:51,1
12:33:51,0
12:34:12,1
12:34:12,0
12:34:46,1
12:34:46,0
12:35:57,1
12:35:57,0
12:36:59,1
12:36:59,0
12:40:34,1
12:40:34,0
12:40:59,1
12:40:59,0
12:41:38,1
12:41:38,0
12:43:25,1
12:43:25,0
12:43:50,1
12:44:09,0
12:46:41,1
12:46:41,0
12:46:45,1
12:46:45,0
12:48:51,1
12:48:51,0
12:49:23,1
12:49:23,0
12:51:44,1
12:51:44,0
12:52:36,1
12:52:36,0
12:54:56,1
12:54:56,0
12:55:34,1
12:55:34,0
12:55:49,1
12:55:49,0
12:58:45,1
12:58:45,0
12:58:51,1
12:58:51,0
12:58:53,1
12:58:53,0
12:59:36,1
12:59:36,0
12:59:40,1
13:00:04,2
13:00:32,1
13:01:02,0
13:01:07,1
13:01:30,2
13:01:33,3
13:01:40,2
13:01:44,3
13:01:45,2
13:02:16,1
13:02:34,2
13:02:46,3
13:03:24,2
13:03:25,1
13:03:50,0
13:04:31,1
13:04:54,2
13:05:11,1
13:05:24,2
13:05:42,1
13:05:58,2
13:06:13,1
13:06:35,0
13:07:26,1
13:07:26,0
13:07:28,1
13:08:15,2
13:08:27,3
13:09:11,2
13:09:56,3
13:10:01,2
13:10:10,3
13:10:19,2
13:10:29,3
13:10:41,2
13:10:42,3
13:10:44,4
13:11:57,3
13:12:12,4
13:12:12,3
13:12:34,2
13:12:39,3
13:12:50,4
13:13:39,5
13:14:05,4
13:14:52,5
13:15:14,6
13:15:24,5
13:15:42,6
13:15:58,5
13:16:20,4
13:16:36,5
13:17:07,4
13:17:22,3
13:17:31,2
13:18:15,1
13:18:58,0
13:19:32,1
13:19:32,0
13:19:55,1
13:19:55,0
13:20:30,1
13:20:41,2
13:20:50,3
13:20:58,4
13:21:09,5
13:21:29,4
13:22:04,5
13:22:04,4
13:22:06,5
13:22:31,4
13:22:49,3
13:23:22,4
13:23:31,5
13:23:38,6
13:23:50,7
13:24:08,6
13:24:16,7
13:24:58,8
13:25:21,7
13:25:32,6
13:26:42,7
13:26:47,6
13:27:07,5
13:27:30,6
13:27:58,7
13:28:47,6
13:29:11,7
13:29:17,6
13:29:54,5
13:29:56,6
13:31:16,7
13:31:16,6
13:31:35,5
13:31:46,6
13:31:51,7
13:32:03,8
13:32:14,9
13:32:29,8
13:32:38,9
13:32:47,10
13:33:08,9
13:33:32,10
13:33:37,9
13:33:38,8
13:34:05,9
13:34:57,8
13:35:19,7
13:35:42,6
13:36:07,7
13:36:30,8
13:36:35,7
13:36:47,8
13:37:07,9
13:37:08,10
13:37:34,9
13:38:21,8
13:38:50,7
13:39:42,8
13:39:45,9
13:40:08,10
13:40:40,9
13:40:42,8
13:40:51,9
13:41:04,8
13:41:10,7
13:41:34,8
13:43:07,9
13:43:22,8
13:43:51,9
13:44:10,10
13:46:02,11
13:46:14,10
13:46:15,9
13:46:45,8
13:47:33,9
13:48:04,8
13:48:30,9
13:48:43,8
13:49:08,7
13:49:17,8
13:49:33,9
13:49:48,8
13:49:59,9
13:51:08,8
13:51:44,9
13:52:08,8
13:52:21,7
13:52:23,8
13:52:36,9
13:53:39,10
13:53:41,9
13:54:03,10
13:54:10,9
13:54:29,10
13:55:17,9
13:55:23,10
13:55:51,11
13:55:58,10
13:56:47,11
13:56:56,10
13:58:37,11
13:59:08,12
13:59:42,11
13:59:56,10
14:00:08,11
14:00:25,10
14:00:56,11
14:01:19,10
14:02:19,9
14:02:22,10
14:02:38,9
14:03:16,10
14:03:42,11
14:03:57,10
14:03:58,9
14:04:01,8
14:04:18,7
14:06:21,8
14:06:27,9
14:06:56,8
14:07:00,9
14:07:22,8
14:08:12,7
14:08:41,6
14:08:48,5
14:10:05,4
14:10:22,3
14:10:58,4
14:11:17,3
14:11:57,2
14:12:28,1
14:13:10,0
14:14:21,1
14:14:21,0
14:17:36,1
14:17:36,0
14:17:37,1
14:17:37,0
14:17:46,1
14:17:46,0
14:21:58,1
14:21:58,0
14:23:45,1
14:23:45,0
14:25:30,1
14:25:30,0
14:32:15,1
14:32:15,0
14:35:06,1
14:35:06,0
14:38:59,1
14:38:59,0
14:40:28,1
14:40:28,0
14:51:53,1
14:51:53,0
14:55:24,1
14:55:24,0
14:56:01,1
14:56:01,0
15:01:23,1
15:01:23,0
15:02:46,1
15:02:46,0
15:02:57,1
15:02:57,0
15:04:18,1
15:04:18,0
15:10:11,1
15:10:11,0
15:10:57,1
15:10:57,0
15:15:39,1
15:15:39,0
15:17:47,1
15:17:47,0
15:19:21,1
15:19:21,0
15:19:35,1
15:19:35,0
15:20:12,1
15:20:12,0
15:21:09,1
15:21:22,0
15:23:27,1
15:23:27,0
15:23:54,1
15:23:54,0
15:24:49,1
15:24:49,0
15:27:56,1
15:27:56,0
15:28:09,1
15:28:09,0
15:28:34,1
15:28:34,0
15:33:02,1
15:33:02,0
15:33:53,1
15:33:53,0
15:34:04,1
15:34:04,0
15:34:33,1
15:34:33,0
15:34:47,1
15:34:47,0
15:36:18,1
15:36:18,0
15:37:53,1
15:37:53,0
15:40:58,1
15:40:58,0
15:41:41,1
15:41:41,0
15:42:39,1
15:42:39,0
15:43:14,1
15:43:14,0
15:43:34,1
15:43:34,0
15:45:27,1
15:45:27,0
15:45:56,1
15:45:56,0
15:46:42,1
15:46:42,0
15:47:59,1
15:47:59,0
15:48:54,1
15:48:54,0
15:50:04,1
15:50:04,0
15:51:48,1
15:51:48,0
15:52:11,1
15:52:11,0
15:53:07,1
15:53:07,0
15:54:40,1
15:54:40,0
15:55:12,1
15:55:12,0
15:56:34,1
15:57:32,2
15:57:49,1
15:58:01,2
15:58:17,1
15:58:36,0
16:02:04,1
16:02:04,0
16:02:44,1
16:02:44,0
16:04:48,1
16:04:48,0
