time_band,no_of_people,no_of_groups
10:30 - 10:40,3,1
10:40 - 10:50,6,2
10:50 - 11:00,10,3
11:00 - 11:10,20,7
11:10 - 11:20,29,9
11:20 - 11:30,33,11
11:30 - 11:40,39,16
11:40 - 11:50,35,12
11:50 - 12:00,26,8
12:00 - 12:10,14,3
12:10 - 12:20,13,4
12:20 - 12:30,14,5
12:30 - 12:40,19,8
12:40 - 12:50,26,8
12:50 - 13:00,29,9
13:00 - 13:10,42,13
13:10 - 13:20,41,15
13:20 - 13:30,53,18
13:30 - 13:40,43,14
13:40 - 13:50,40,14
13:50 - 14:00,32,9
14:00 - 14:10,24,9
14:10 - 14:20,14,5
14:20 - 14:30,11,4
14:30 - 14:40,10,3
14:40 - 14:50,6,2
14:50 - 15:00,13,4
15:00 - 15:10,13,3
15:10 - 15:20,19,5
15:20 - 15:30,19,6
15:30 - 15:40,24,6
15:40 - 15:50,24,7
15:50 - 16:00,25,8
16:00 - 16:10,26,9
16:10 - 16:20,21,6
16:20 - 16:30,19,6
16:30 - 16:40,17,8
16:40 - 16:50,16,6
16:50 - 17:00,15,6
17:00 - 17:10,20,8
17:10 - 17:20,19,6
17:20 - 17:30,23,9
17:30 - 17:40,20,8
17:40 - 17:50,23,7
17:50 - 18:00,13,5
18:00 - 18:10,11,4
18:10 - 18:20,11,4
18:20 - 18:30,5,2
18:30 - 18:40,4,2
