time_band,no_of_people,no_of_groups
10:30 - 10:40,2,1
10:40 - 10:50,5,2
10:50 - 11:00,8,2
11:00 - 11:10,20,7
11:10 - 11:20,30,10
11:20 - 11:30,34,10
11:30 - 11:40,40,13
11:40 - 11:50,33,11
11:50 - 12:00,27,10
12:00 - 12:10,13,4
12:10 - 12:20,12,6
12:20 - 12:30,15,4
12:30 - 12:40,17,7
12:40 - 12:50,24,10
12:50 - 13:00,32,11
13:00 - 13:10,41,12
13:10 - 13:20,40,15
13:20 - 13:30,52,19
13:30 - 13:40,44,17
13:40 - 13:50,42,13
13:50 - 14:00,30,11
14:00 - 14:10,23,11
14:10 - 14:20,14,5
14:20 - 14:30,9,3
14:30 - 14:40,8,2
14:40 - 14:50,5,2
14:50 - 15:00,12,4
15:00 - 15:10,13,4
15:10 - 15:20,17,4
15:20 - 15:30,20,8
15:30 - 15:40,24,9
15:40 - 15:50,25,7
15:50 - 16:00,26,8
16:00 - 16:10,27,10
16:10 - 16:20,22,7
16:20 - 16:30,21,7
16:30 - 16:40,18,6
16:40 - 16:50,15,8
16:50 - 17:00,15,4
17:00 - 17:10,18,6
17:10 - 17:20,19,7
17:20 - 17:30,25,9
17:30 - 17:40,23,9
17:40 - 17:50,24,7
17:50 - 18:00,17,5
18:00 - 18:10,10,3
18:10 - 18:20,10,3
18:20 - 18:30,5,1
18:30 - 18:40,3,1
18:40 - 18:50,2,1
