time_band,no_of_people,no_of_groups
10:30 - 10:40,2,1
10:40 - 10:50,4,1
10:50 - 11:00,8,2
11:00 - 11:10,20,6
11:10 - 11:20,30,12
11:20 - 11:30,34,10
11:30 - 11:40,40,13
11:40 - 11:50,32,12
11:50 - 12:00,26,7
12:00 - 12:10,11,5
12:10 - 12:20,12,4
12:20 - 12:30,16,4
12:30 - 12:40,18,6
12:40 - 12:50,26,8
12:50 - 13:00,31,12
13:00 - 13:10,41,13
13:10 - 13:20,40,12
13:20 - 13:30,51,20
13:30 - 13:40,43,15
13:40 - 13:50,42,14
13:50 - 14:00,30,10
14:00 - 14:10,23,7
14:10 - 14:20,13,4
14:20 - 14:30,11,4
14:30 - 14:40,8,2
14:40 - 14:50,4,1
14:50 - 15:00,13,3
15:00 - 15:10,10,5
15:10 - 15:20,20,6
15:20 - 15:30,22,7
15:30 - 15:40,23,8
15:40 - 15:50,25,8
15:50 - 16:00,24,9
16:00 - 16:10,30,8
16:10 - 16:20,21,7
16:20 - 16:30,21,7
16:30 - 16:40,17,7
16:40 - 16:50,14,4
16:50 - 17:00,15,5
17:00 - 17:10,19,5
17:10 - 17:20,20,7
17:20 - 17:30,23,7
17:30 - 17:40,22,6
17:40 - 17:50,21,6
17:50 - 18:00,15,7
18:00 - 18:10,9,3
18:10 - 18:20,10,4
18:20 - 18:30,5,2
18:30 - 18:40,3,1
19:00 - 19:10,1,1
