arrival_time,in_queue_time
16:28:12,00:13:36
16:32:59,00:09:02
16:34:05,00:10:31
16:34:23,00:13:14
16:36:32,00:11:51
16:37:50,00:11:29
16:39:25,00:11:31
16:41:19,00:10:10
16:42:52,00:10:01
16:42:54,00:12:10
16:43:06,00:12:25
16:47:03,00:09:34
16:48:24,00:10:19
16:51:43,00:07:57
16:52:53,00:07:04
16:53:38,00:08:22
16:59:00,00:05:35
17:01:24,00:03:14
17:02:29,00:04:18
17:05:56,00:02:31
17:07:06,00:02:59
17:09:26,00:02:00
17:09:28,00:03:12
17:09:47,00:05:17
17:10:41,00:05:40
17:14:55,00:02:28
17:16:06,00:01:55
17:16:42,00:01:32
17:18:06,00:02:45
17:19:27,00:02:03
17:20:57,00:01:53
17:21:21,00:03:11
17:21:29,00:03:49
17:21:51,00:05:30
17:23:24,00:04:25
17:23:45,00:05:36
17:26:25,00:04:10
17:28:55,00:03:07
17:31:36,00:00:40
17:31:55,00:02:12
17:34:02,00:04:21
17:34:12,00:04:58
17:36:48,00:02:50
17:38:24,00:03:06
17:39:15,00:03:39
17:39:16,00:03:46
17:40:26,00:03:53
17:40:29,00:04:05
17:41:15,00:04:54
17:43:08,00:03:37
17:43:20,00:05:23
17:44:42,00:05:07
17:46:16,00:05:08
17:52:56,00:00:00
17:54:09,00:00:00
17:55:49,00:00:00
17:57:11,00:01:24
18:02:06,00:00:00
18:02:17,00:00:00
18:09:14,00:00:00
18:10:00,00:00:00
18:14:28,00:00:00
18:15:42,00:00:00
18:29:02,00:00:00
18:31:58,00:00:00
18:38:34,00:00:00
18:43:07,00:00:00
