time_band,no_of_people,no_of_groups
10:30 - 10:40,2,1
10:40 - 10:50,4,3
10:50 - 11:00,9,6
11:00 - 11:10,20,8
11:10 - 11:20,29,16
11:20 - 11:30,34,18
11:30 - 11:40,40,20
11:40 - 11:50,34,12
11:50 - 12:00,27,11
12:00 - 12:10,12,4
12:10 - 12:20,12,5
12:20 - 12:30,15,6
12:30 - 12:40,19,8
12:40 - 12:50,24,8
12:50 - 13:00,30,16
13:00 - 13:10,42,24
13:10 - 13:20,39,19
13:20 - 13:30,54,25
13:30 - 13:40,43,20
13:40 - 13:50,42,17
13:50 - 14:00,31,15
14:00 - 14:10,23,11
14:10 - 14:20,13,6
14:20 - 14:30,10,6
14:30 - 14:40,8,6
14:40 - 14:50,7,2
14:50 - 15:00,10,5
15:00 - 15:10,13,5
15:10 - 15:20,18,8
15:20 - 15:30,20,9
15:30 - 15:40,23,9
15:40 - 15:50,26,9
15:50 - 16:00,25,15
16:00 - 16:10,27,13
16:10 - 16:20,22,11
16:20 - 16:30,19,9
16:30 - 16:40,20,7
16:40 - 16:50,15,5
16:50 - 17:00,14,5
17:00 - 17:10,20,10
17:10 - 17:20,18,8
17:20 - 17:30,25,10
17:30 - 17:40,22,10
17:40 - 17:50,20,10
17:50 - 18:00,15,8
18:00 - 18:10,10,3
18:10 - 18:20,9,5
18:20 - 18:30,4,2
18:30 - 18:40,2,1
18:40 - 18:50,2,1
