time_band,groups_served,groups_rejected
10:00 - 10:10,1,0
10:20 - 10:30,1,0
10:30 - 10:40,1,0
10:40 - 10:50,3,0
10:50 - 11:00,3,0
11:00 - 11:10,12,0
11:10 - 11:20,11,4
11:20 - 11:30,6,13
11:30 - 11:40,10,18
11:40 - 11:50,7,17
11:50 - 12:00,6,10
12:00 - 12:10,9,0
12:10 - 12:20,6,3
12:20 - 12:30,11,0
12:30 - 12:40,10,1
12:40 - 12:50,8,6
12:50 - 13:00,7,10
13:00 - 13:10,6,18
13:10 - 13:20,7,19
13:20 - 13:30,6,26
13:30 - 13:40,9,16
13:40 - 13:50,7,22
13:50 - 14:00,6,16
14:00 - 14:10,8,5
14:10 - 14:20,6,0
14:20 - 14:30,6,0
14:30 - 14:40,4,0
14:40 - 14:50,5,0
14:50 - 15:00,9,0
15:00 - 15:10,6,0
15:10 - 15:20,13,0
15:20 - 15:30,12,1
15:30 - 15:40,8,7
15:40 - 15:50,5,10
15:50 - 16:00,11,5
16:00 - 16:10,8,11
16:10 - 16:20,7,8
16:20 - 16:30,7,3
16:30 - 16:40,10,5
16:40 - 16:50,7,0
17:00 - 17:10,8,5
16:50 - 17:00,9,0
17:10 - 17:20,6,6
17:20 - 17:30,9,2
17:30 - 17:40,4,6
17:40 - 17:50,10,8
17:50 - 18:00,10,1
18:00 - 18:10,7,0
18:10 - 18:20,6,0
18:20 - 18:30,2,0
18:30 - 18:40,1,0
18:40 - 18:50,1,0
18:50 - 19:00,1,0
