time_band,groups_served,groups_rejected
10:30 - 10:40,1,0
10:40 - 10:50,2,0
10:50 - 11:00,4,0
11:00 - 11:10,7,1
11:10 - 11:20,4,9
11:20 - 11:30,4,11
11:30 - 11:40,5,13
11:40 - 11:50,3,11
11:50 - 12:00,4,9
12:00 - 12:10,5,0
12:10 - 12:20,4,1
12:20 - 12:30,7,0
12:30 - 12:40,4,4
12:40 - 12:50,4,7
12:50 - 13:00,4,9
13:00 - 13:10,2,18
13:10 - 13:20,2,16
13:20 - 13:30,4,17
13:30 - 13:40,4,18
13:40 - 13:50,5,12
13:50 - 14:00,3,11
14:00 - 14:10,2,6
14:10 - 14:20,4,2
14:30 - 14:40,4,1
14:20 - 14:30,4,0
14:40 - 14:50,2,1
14:50 - 15:00,4,1
15:00 - 15:10,6,0
15:10 - 15:20,4,5
15:20 - 15:30,2,7
15:30 - 15:40,6,3
15:40 - 15:50,4,9
15:50 - 16:00,3,12
16:00 - 16:10,4,8
16:10 - 16:20,6,6
16:20 - 16:30,4,4
16:30 - 16:40,4,6
16:40 - 16:50,3,3
16:50 - 17:00,2,3
17:00 - 17:10,6,0
17:10 - 17:20,4,5
17:20 - 17:30,6,7
17:30 - 17:40,3,6
17:40 - 17:50,4,8
17:50 - 18:00,4,4
18:10 - 18:20,3,1
18:00 - 18:10,3,0
18:20 - 18:30,2,0
18:30 - 18:40,1,0
18:40 - 18:50,1,0
18:50 - 19:00,1,0
