time_band,no_of_people,no_of_groups
10:30 - 10:40,2,2
10:40 - 10:50,3,1
10:50 - 11:00,8,3
11:00 - 11:10,20,12
11:10 - 11:20,30,12
11:20 - 11:30,34,13
11:30 - 11:40,41,19
11:40 - 11:50,33,18
11:50 - 12:00,27,10
12:00 - 12:10,13,6
12:10 - 12:20,12,5
12:20 - 12:30,15,8
12:30 - 12:40,18,6
12:40 - 12:50,23,10
12:50 - 13:00,30,17
13:00 - 13:10,42,20
13:10 - 13:20,38,18
13:20 - 13:30,51,22
13:30 - 13:40,45,22
13:40 - 13:50,41,20
13:50 - 14:00,32,19
14:00 - 14:10,22,10
14:10 - 14:20,14,6
14:20 - 14:30,9,5
14:30 - 14:40,10,4
14:40 - 14:50,6,4
14:50 - 15:00,9,4
15:00 - 15:10,11,4
15:10 - 15:20,17,11
15:20 - 15:30,20,9
15:30 - 15:40,22,11
15:40 - 15:50,28,12
15:50 - 16:00,25,13
16:00 - 16:10,28,12
16:10 - 16:20,20,9
16:20 - 16:30,20,13
16:30 - 16:40,18,12
16:40 - 16:50,17,7
16:50 - 17:00,15,9
17:00 - 17:10,21,7
17:10 - 17:20,17,7
17:20 - 17:30,24,9
17:30 - 17:40,22,14
17:40 - 17:50,22,11
17:50 - 18:00,14,7
18:00 - 18:10,10,6
18:10 - 18:20,10,5
18:20 - 18:30,4,2
18:30 - 18:40,4,2
18:40 - 18:50,2,1
19:00 - 19:10,1,1
